target_code;target_content;target_assessment;sub_theme
TA3.9;By 2030, Union processing capacity, including for all intermediate processing steps, should be able of producing at least 40% of the Union’s annual consumption of strategic raw materials. Regulation (EU) 2024/1252;"The historical time trends (2011-2022) for the EU self-sufficiency at processing phase for the 16 strategic materials can be extracted based on data from [121] and [122] and [123]. Results show that:
- The EU’s self-sufficiency for copper, cobalt and germanium was above the benchmark in 2022. For copper, this value has been stably above 80% in the period 2011-2022. For cobalt and germanium, the trend was fluctuating and more unstable, but increasing in between 2018 and 2022.
- The EU’s self-sufficiency was below the benchmark in 2022 for bismuth, boron, gallium and platinum group metals, with gallium showing a drastic decrease from 2011 (100%) to 2022 (2%).
- The EU has no self-sufficiency to process lithium, magnesium, natural graphite, titanium, and both heavy and light rare earth elements, while there is no sufficient data available for tungsten, nickel and manganese.";
TA3.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw ma- terial at any relevant stage of processing can rely on imports from several third countries or from overseas countries or territories (OCTs) and that no third country accounts for more than 65% of the Union’s annual consumption of such a strategic raw material. Regulation (EU) 2024/1252;Half of the 16 strategic raw materials have values above the 65% target, therefore there is a low diversification of sourcing countries. These include bismuth, gallium, lithium, magnesium, platinum group metals, and both heavy and light rare earth elements.;
TA3.12;By 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs.Net Zero Industry Act;Target set in 2023, data is currently not available to assess this target.;
TA3.13;"By 2030, Union recycling capacity, including for
all intermediate recycling steps, should be able
of producing at least 25% of the Union’s annual consumption of strategic raw materials and should be able of recycling significantly increasing amounts of each strategic raw material from waste.
Regulation (EU) 2024/1252";"The historical trends of the recycling capacity for strategic materials can be assessed by looking at the evolution of the End-of-Life Recycling Input Rate of strategic materials over time. Out of 16 strategic materials, the recycling capacity: - was above the 25% benchmark in 2022 for two materials (copper and tungsten), - was between 22% and 5% in 2022 for eight materials groups (cobalt, magnesium, manganese, nickel, titanium, platinum group metals, and both heavy and light rare earth elements)
- was below 5% for six materials (bismuth, boron, gallium, germanium, lithium and natural graphite)";
TA3.15;"Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take
back, free of charge and without an obligation on the end- user to buy a new battery, nor to have bought the battery from them, and shall ensure that all
waste starting, lighting and ignition batteries, waste industrial batteries and waste electric vehicle batteries regardless of their nature, chemical composition, condition, brand, or origin of the respective category that they have made available on the market for the first time in the territory of that Member State are collected separately.
Regulation (EU) 2023/1542";Currently, there is no official monitoring system in place and therefore it is not possible to assess if the target will be reached.;
TA3.16;"Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably,
at least the following collection targets for waste portable batteries:
- 45% by 31 December 2023, - 63% by 31 December 2027, - 73% by 31 December 2030. Regulation (EU) 2023/1542";"The calculation methodology is under development and these targets will be updated accordingly, whilst maintaining the same level of ambition.
Currently, there is no robust data to assess the distance to the targets (e.g. due to new types of batteries entering in the markets, longer lifetime of batteries, new applications).
Assuming the ambition of the targets, attention might be paid in the implementa- tion phase at Member State level.";
TA3.17;"Producers of LMT batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries:
- 51% by 31 December 2028, - 61% by 31 December 2031. Regulation (EU) 2023/1542";The calculation methodology is under development and these targets will be updated accordingly, whilst maintaining the same level of ambition. Considering that light means of transport batteries represent a new market and collection systems need to be adapted, currently it is not possible to assess whether these ambitious targets are reachable or not.;
TA3.18;"For industrial batteries with a capacity greater than 2kWh, except those with exclusively external storage, electric vehicle batteries and starting, lighting and ignition batteries that contain cobalt, lead, lithium
or nickel in active materials, the minimum recycled content percentage for each battery model per year and per manufacturing plant shall be:
From 18 August 2031, 16% cobalt, 85% lead, 6% lithium, and 6% nickel,
From 18 August 2036, 26% cobalt, 85% lead, 12% lithium, and 15% nickel.
Regulation (EU) 2023/1542";"The assessment methodology is under development. Therefore, it is not possible to assess whether all producers will be able to reach these targets.
JRC internal calculations show that these targets are in principle feasible, although significant changes in the industrial production systems are needed.";
TA3.19;"Any  natural or legal person that places on the market products incorporating portable batteries shall ensure that those batteries are readily removable and replaceable by the end-user at any time during the lifetime of the product. That obligation shall only apply to entire batteries and not to individual cells or other parts included in such batteries.
Regulation (EU) 2023/1542
";This target is ambitious with a very wide coverage of products, many of which are expected to be redesigned in order to be compliant. However, high uncertainty on distance to target lies with existence of derogations and the challenge to establish them at product-specific level. The Delegated Acts expected to specify deroga- tions are not yet in place. Verification and procedures to accept/reject derogation applications will also need to be defined in the Delegated Acts.;
TA3.20;"Recycling shall achieve at least the following targets for recycling efficiency:
No later than 31 December 2025
- 75% by average weight of lead-acid batteries,
- 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries
No later than 31 December 2030
- 80% by average weight of lead-acid batteries, Regulation (EU) 2023/1542";"Based on current draft guidance for calculation and verification rules for recycling efficiency, the targets for lead-acid, nickel-cadmium and other waste batteries are feasible.
Since, for lead-acid batteries, the battery chemistry and related recycling technologies are fully mature and efficient. For both nickel-cadmium and other waste batteries, it will be important to monitor the performances due to the evolving market for these chemistries.";
TA3.21;"Recycling shall achieve at least the following targets for recycling efficiency:
- No later than 31 December 2025, 65% by average weight of lithium-based batteries,
- No later than 31 December 2030, 70% by average weight of lithium-based batteries.
Regulation (EU) 2023/1542";The 2025 target for lithium-based batteries is in principle feasible, however due to the increasing diversity of lithium-based batteries on the market, it is important to closely monitor the performance towards the target. Furthermore, there are some improvement opportunities when data is available, recycling systems are established and when the target is revised by 2027.;
TA3.22;"All recycling shall achieve at least the following targets for recovery of materials:
- No later than 31 December 2027, 90% for cobalt, copper, lead, nickel,
- No later than 31 December 2031, 95% for cobalt, copper, lead, nickel,
Regulation (EU) 2023/1542";Based on the current draft guidance for the calculation and verification rules for material recovery, the targets for cobalt, copper, lead and nickel are feasible.;
TA3.23;"All recycling shall achieve at least the following targets for recovery of materials, 50% for lithium, no later than 31 December 2027, and 80% for lithium no later than 31 December 2031.
Regulation (EU) 2023/1542";Based on the current draft guidance for the calculation and verification rules, the target for lithium is in principle feasible. Significant investments in lithium recycling systems are required.;
TA3.24;"Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020
Proposal amending Directive 2008/98/EC on waste";Data for these targets is only available for 2020 and for 2021 in Eurostat, therefore it is still early to define a clear trend. However, based on the analysis performed in the impact assessment of the Proposal for a Directive amending Directive 2008/98/EC on waste [108], it is possible to estimate that the target is feasible, but progress needs to accelerate to reach the target value.;
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020 Proposal amending Directive 2008/98/EC on waste;Data for these targets is only available for 2020 and for 2021 in Eurostat, therefore it is still early to define a clear trend. However, based on the analysis performed in the impact assessment of the Proposal for a Directive amending Directive 2008/98/EC on waste [108], it is possible to estimate that the target is feasible, but progress needs to accelerate to reach the target value.;
TA3.27;"All packaging shall be recyclable
Proposal on packaging and packaging waste";Criteria and assessment methodology under development;
TA3.28;"The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030
(i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component,
(ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles,
(iii) 30% for single use plastic beverage bottles,
(iv) 35% for other plastic packaging
From 1 January 2040
(v) 50% for contact sensitive plastic packaging, except single use plastic beverage bottles,
(vi) 65% for single use plastic beverage bottles,
(vii) 65% for other plastic packaging
Proposal on packaging and packaging waste";Currently, there are no official statistics on the recycled content in plastic packaging, due to the lack of EU guidelines on calculating and reporting recycled content. As of 2022, there is no recycled content in food-contact (non-PET) plastic packaging, 20% in PET packaging and 14% for other plastic packaging [126], [127]. These recycled content rates are still far away from the 2030 targets of 10%, 30% and 35% for each plastic packaging category, respectively.;
TA3.29;"Member States shall take measures to achieve a sus- tained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed
40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter. Proposal on packaging and packaging waste";Data are only available for 18 Member States, 12 Member States have already achieved the 2025 target. The 6 other Member States that are have not met the target yet have indicated a clear drop from 2018 plastic bag consumption values, suggesting that these Member States are on track to reach the 2025 target. Currently, data are not available for the following 9 Member States: Bulgaria, Denmark, Estonia, Greece, Italy, Malta, Netherlands, Romania and Finland [124].;
TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040 Proposal on packaging and packaging waste;"On average, the packaging waste generated increased from 157 kg per person in 2011 to 178 kg per person in 2020. Most Member States have reported
a steady growth in packaging waste generation per capita in the period of 2011-2020, particularly Romania, Bulgaria, Croatia, Hungary, Poland and Czechia [99]. Currently, none of the Member States is on track to reach the packaging waste reduction targets. However, the newly agreed Plastic and Packaging Waste Regulation intends to bend the currently observed stagnant or upward trend of packaging waste generation through a number of measures, in particular binding reuse and refill requirements.";
TA3.31;"Member States shall take the necessary measures to attain the recycling targets of 65% by weight
of all packaging waste generated by 31 December 2025, and of 70% by weight of all packaging waste generated by 31 December 2030.
Proposal on packaging and packaging waste";For all packaging at the EU level2, the 2025 recycling rate target is feasible. However, 10 Member States are at risk of missing the 2025 target, including Bulgaria, Croatia, Cyprus, Greece, Hungary, Lithuania, Malta, Poland, Romania and Slovakia [125].;
TA3.32;Member States shall take the necessary measures to attain a recycling target of 50% of plastic by weight of plastic contained in packaging waste generated by 31 December 2025, and of 55% by weight of plastic in packaging waste generated by 31 December 2030. Proposal on packaging and packaging waste;"Plastic is the most critical packaging category for which the targets are clearly above current levels of recycling. 19 Member States are at risk of missing the 2025 target, including Austria, Bulgaria, Croatia, Cyprus, Denmark, Finland, France, Greece, Hungary, Ireland, Italy, Latvia, Luxembourg, Malta, Poland, Portugal, Romania, Slovakia and Spain [125].
2 EU-level, based on a weighted average between Member State population and recycling rate percentage.";
TA3.33;Member States shall take the necessary measures to attain a recycling target of 25% of wood by weight of wood contained in packaging waste generated by 31 December 2025 and of 30% by 31 December 2030. Proposal on packaging and packaging waste;For wooden packaging at the EU level2, the recycling rates are very feasible or have already been achieved. Nonetheless, Croatia and Malta are at risk of missing the 2025 target [125].;
TA3.34;"Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025 and of 80% by 31 December 2030
Proposal on packaging and packaging waste";Considering the high recycling rates for metallic packaging at the EU level2, the 2025 and 2030 recycling targets seem achievable. However, 5 Member States are at risk of missing the 2025 target, including Croatia, Denmark, Malta, Portugal and Romania [125].;
TA3.35;"Member States shall take the necessary measures to attain a recycling target of 50% of aluminium by weight of aluminium contained in packaging waste generated by 31 December 2025 and of 60% by 31 December 2030
Proposal on packaging and packaging waste";Similarly for aluminium, the high recycling rates registered for metallic packaging suggest that both recycling targets are achievable, at least at the EU level2. Nonetheless, 9 Member States are at risk of missing the 2025 target, including Croatia, Cyprus, Czechia, Greece, Malta, Portugal, Romania, Slovakia and Spain [125].;
TA3.36;Member States shall take the necessary measures to attain a recycling target of 70% of glass by weight of glass contained in packaging waste generated by 31 December 2025 and of 75% by 31 December 2030 Proposal on packaging and packaging waste;For glass packaging, at least at the EU level2, the recycling rate targets are very feasible or have already been achieved. Several Member States are at risk of missing the 2025 target, including Bulgaria, Croatia, Cyprus, Greece, Hungary, Lithuania, Malta, Poland, Portugal and Romania [125].;
TA3.37;"Member States shall take the necessary measures to attain a recycling target of 75% of paper and card- board by weight of paper and cardboard contained in packaging waste generated by 31 December 2025 and of 85% by 31 December 2030
Proposal on packaging and packaging waste";"For paper and cardboard packaging, at least at the EU level2, the recycling rate targets are very feasible or have already been achieved. Nonetheless, Croatia, Malta, Slovakia and Spain are at risk of missing the 2025 target [125].
2 EU-level, based on a weighted average between Member State population and recycling rate percentage.";
TA3.38;"Each vehicle belonging to a vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of this Regulation] under Regulation (EU) 2018/858 shall be constructed so that it is:
(a) reusable/recyclable to a minimum of 85% by mass, (b) reusable/recoverable to a minimum of 95 % by mass. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles";The feasibility of the target depends on the calculation method and related data. As stated in the impact assessment study, while substantial progress has been made since 2000 to reach the 85% recycling/reuse target set out in the ELV Directive, a large share of materials, in particular automotive shredder residue, is sent to landfills or incinerated (i.e. not valorised) [128].;
TA3.48;The plastic contained in each vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of the Regulation] under Regulation (EU) 2018/858 shall contain a minimum of 25 % of plastic recycled by weight from post-consumer plastic waste. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;Although the calculation method has not be defined, the JRC assumes that these ambitious targets are in principle reachable (also based on [129]). JRC highlight that they require significant changes in the industrial production systems both in the production and uptake of high-quality recycled plastics.;
TA3.49;"At least 25% of the target set out in the first subparagraph shall be achieved by including plastics recycled from end-of-life vehicles in the vehicle type concerned.
Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles";Although the calculation method has not been defined, JRC assumes that this feature of the targets is in principle reachable. JRC highlights that they require significant innovations in the industrial production systems both in the production and uptake of high-quality recycled plastics, in particular in the area of end-of-life vehicle collection and treatment and wide deployment of post-shredder sorting technologies.;
TA3.50;"Member States shall ensure that the following targets are met by the waste management operators:
(a) the reuse and recovery, as calculated together, shall be a minimum of 95 %, by average weight per vehicle, excluding batteries, and year,
(b) the reuse and recycling, as calculated together, shall be a minimum of 85 %, by average weight per vehicle, excluding batteries, and year.
Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles";The targets should in principle be reached [129], especially if other incentives on demand for recycled materials (See article 6) promote the wide deployment of post-shredder sorting technologies.;
TA3.51;"Member States shall ensure that waste management operators achieve a yearly target for the recycling of plastics of at least 30 % of the total weight of plastics contained in the vehicles delivered to the waste management operators.
Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles";The targets should in principle be reached, especially if other incentives on demand of recycled plastics (See article 6) promote the wide deployment of post-shredder sorting technologies.;
TA3.52;"At least 20% of the carbon used in the chemical
and plastic products should be from sustainable non-fossil sources by 2030, in full consideration of the EU's biodiversity and circular economy objectives and of the upcoming policy framework for bio-based, biodegradable and compostable plastics. Communication on Sustainable Carbon Cycles";The current lack of data does not allow to assess the status of this target.;
TA4.3;"The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall
be reduced, compared to the reference value (91.16 gCO2e/MJ) by: 2% from 1 January 2025, 6% from
1 January 2030, 14.5% from 1 January 2035, 31% from 1 January 2040, 62% from 1 January 2045, 80% from 1 January 2050.
Regulation (EU) 2023/1805";"EU shipping emissions increased by 5.6% in 2021 from the previous year, rebounding from the COVID-19 induced slump of 2020. The target for 2025 seems unlikely to be reached.
The EEA projections suggest that, even with measures currently planned in the Member States, emissions from domestic navigation are projected to remain relatively stable in the coming years. International maritime transport emissions are projected to continue increasing.";
TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;Several plants are being built to produce sustainable aviation fuels and sustainable aviation fuels are tested by companies. The contribution of aviation fuels is practically negligible currently. No sustainable biofuel use was reported in Eurostat in aviation in 2021.;
TA4.6;"Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050.
Regulation (EU) 2023/2405";Synthetic fuels are not available on the market, conversion pathways are at early technology development levels, facing major techno-economic challenges.;
TA4.7;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;According to EurObserv’ER [155] the contribution of advanced biofuels already reached 1% in 2022 (indicative data). The target for 2025 has already been reached. Nevertheless, the sub-target for RFNBO of 1 percentage point for 2030 is not on track as of 2022 data, but the uptake of RFNBO is expected to grow in the coming years, providing enough time to reach the 2030 target.;
TA4.8;"Member States with maritime ports shall endeavour to ensure that as of 2030 the share of renewable fuels of non-biological origin (RFNBOs) in the total amount of energy supplied to the maritime transport sector is at least 1.2%.
Directive (EU) 2023/2413";"Synthetic fuels are not available on the market and conversion pathways are at early technology development levels, facing major techno-economic challenges. E-fuels facilities are still at the demo-scale, with only a few plants currently operated at the EU level [156].
RFNBOs is a promising solution for hard-to-electrify sectors, such as the maritime one. However, a market for maritime RFNBO is currently yet to develop. Regulation (EU) 2023/1805 also introduces a combination of measures to ensure the support to the uptake of sustainable RFNBOs. The deal also set a 2% renewable fuels usage target as of 2034 if the Commission reports that in 2031 RFNBO will amount to less than 1% in fuel mix.";
TA4.9;"Cut the emissions of transport sector by 90% by 2050 relative to 1990.
Sustainable and Smart Mobility Strategy";"Following six years of steady growth in greenhouse gas emissions from the EU’s transport sector, transport emissions dropped substantially in 2020 because
of reduced activity during the COVID-19 pandemic. In 2022 they were still 6% below 2019 levels. However, Eurostat quarterly GHG emission data shows that this rebound continued in 2023. According to the Report “Towards EU climate neutrality: progress, policy gaps and opportunities” by the European Scientific Advisory Board on Climate Change, the average rate of emission reduction since 2005 (-2 MtCO2e per year) should be more than 10 times higher (-26 MtCO2e
per year in 2023-2030) to be consistent with the trajectories towards the overall 2030 net GHG emission reduction target by the EU Climate Law. When considering the 90% reduction objective for transport GHG emissions by 2050, the average rate of emission reduction should be higher (-31 MtCO2e in 2031-2050).";
TA4.10;"EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030.
Energy Transition of the EU Fisheries and Aquaculture sector";"The Communication notes that ""Fisheries and aquaculture operators began reducing their energy intensity between 2009 and 2014, but the progress they made has stagnated in recent years. Therefore, there is a need to accelerate the energy transition"". In turn, this statement grounds on the JRC science for policy report ""The 2022 Annual Economic Report on the EU Fishing Fleet” [161] by the Scientific, Technical and Economic Committee for Fisheries, assessing that the sector fuel intensity (i.e. fuel consumption per tonne landed) dropped by more than 15% between 2009 and 2014, but that this trend has stagnated since then.";
TA4.11;Reduce the average door-to-door cost of combined transport operations by at least 10% within 7 years Proposal for a Directive to support framework for intermodal transport of goods;No available data.;
TA4.13;"For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles
Regulation (EU) 2024/1610";"Following the Regulation, due to the technical readiness of urban buses and
the need to improve urban air quality, this target supports the need to have a mandatory minimum share of new zero-emission urban buses. According to the European Automobile Manufacturers’ Association (ACEA) and Rabobank, the whole EU bus fleet consists of around 715.000-750.000 vehicles, with city buses representing around 215.000 units (around 30%). Looking at city buses only, there has been a steady decrease in the number of new city buses fuelled by Diesel since 2016, increasingly being replaced by electric vehicles. A market growth average close to 18% could help achieve the 2030 target. This is feasible, given the 2020-2023 market trend (source: Rabobank). It should be finally noted that a collapse of the diesel buses market is unlikely (e.g. due to the need in rural areas), and new electrically chargeable buses accounted for 12.7% in the total EU bus market in 2022, making up only 1.4% of total buses on EU roads (source: ACEA).";
TA4.15;"The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles [...], off-road vehicles and off-road special purpose vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019:
(a) 15% for vehicle sub-groups 4-UD, 4-RD, 4-LH, 5-RD, 5-LH, 9-RD, 9-LH, 10-RD and 10-LH for the reporting periods of the years 2025 to 2029,
(b) 45% for all vehicle sub-groups other than vocational vehicles for the reporting periods of the years 2030 to 2034,
(c) 65% for all vehicle sub-groups for the reporting periods of the years 2035 to 2039,
(d) 90% for all vehicle sub-groups for the reporting periods of the year 2040 onwards
Regulation (EU) 2024/1610";The average specific CO2 emissions of new heavy-duty vehicles in groups 4, 5, 9 and 10 has decreased by 0.55%, from 52.75g/t.km in 2019 to 52.45g/t.km in 2020. The rate of decrease is therefore slow and acceleration is needed to achieve the targets.;
TA4.18;"The share of biofuels and biogas produced from
the feedstock listed in Part B of Annex IX in the energy content of fuels and electricity supplied to the transport sector shall, except in Cyprus and Malta, be limited to 1.7%.
Directive (EU) 2023/2413";The EU share (including Cyprus and Malta) was 1.28% in 2021, it increased to 1.35% in 2022. This target is currently on track.;
TA4.19;"The yearly quantity of aviation fuel uplifted by a given aircraft operator at a given Union airport shall be
at least 90% of the yearly aviation fuel required, to avoid tankering practices which would bring additional emissions from extra weight.
Regulation (EU) 2023/2405";No data available;
TA4.20;"In the first phase, from 2020 up to 2024, the strategic objective is to install at least 6 GW of renewable hydrogen electrolysers in the EU. In the second
phase, from 2025 up to 2030, the strategic objective is to install at least 40 GW of renewable hydrogen electrolysers.
A Hydrogen Strategy for a climate-neutral Europe";Initiatives are ongoing and deployment of electrolysers is increasing, but it is unlikely that the target of deploying 6 GW of hydrogen generation capacity will be reached by the end of 2024.;
TA4.25;"Member States shall ensure that, at the end of each year, the following power output targets are met cumu- latively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations.
Regulation (EU) 2023/1804";Based on charging infrastructure data from Eco-Movement 2022 and estimates of electric vehicles on the roads, most Member States are already compliant with this fleet-based target (see European Alter-native Fuels Observatory – Target tracker). Research also highlights that the total power output needed per electric vehicle (including battery electric vehicles and plug-in hybrid vehicles) is highly dependent on the share of electric cars and vans on the road, with AFIR targets on cumulative power outputs per vehicle being sufficient in the long term (when a rise in the market share of battery electric vehicles and plug-in hybrid vehicles is expected) [157].;
TA4.26;"Member States shall ensure that along the TEN-T
core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW. Regulation (EU) 2023/1804";The target supports the vision of 3 million charging points by 2030 under the Sustainable and Smart Mobility strategy. As of mid-2024, around 730.000 charging points are available in the EU (see TENtec Interactive Map Viewer). According to the EC Dashboard towards zero-emission vehicle, around 60% of charging points in the EU are concentrated in three EU countries (Germany, France, Netherlands), while Eastern EU is lagging behind. To meet the 3 million charging points ambition, around 400.000 new points need to be installed annually, with a significant gap with respect to the 153.000 new public charging points installed in 2023 [158].;
TA4.27;"Member States shall ensure that, by 31 December 2030 (with intermediate 2025 and 2027 targets), along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel
with a maximum distance of 60 km between them [...]. Along the TEN-T comprehensive road network, recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 100 km between them and each recharging pool offers a power output of at least 1.500 kW and includes at least one recharging point with an individual power output of at least 350 kW. Regulation (EU) 2023/1804";Despite the lack of specific data regarding recharging pools for heavy-duty electric vehicles, the extent of the TEN-T network served by high voltage recharging points stays so far limited to central Europe, with significant infrastructure improvement needed in Southern and Eastern EU, alongside the core and comprehensive networks (see TENtec Interactive Map Viewer).;
TA4.28;"By 31 December 2030, in each safe and secure parking area at least four publicly accessible recharging stations dedicated to heavy-duty electric vehicles with an individual power output of at least 100 kW are deployed.
Regulation (EU) 2023/1804";The extent of the TEN-T network equipped with safe and secure parking complying with the target is localised in central-northern EU (see TENtec Interactive Map Viewer). However, data available is not updated and it is not possible to assess whether the current number of secure parking areas for heavy-duty electric vehicles and the speed of installation is sufficient to reach the 2030 target.;
TA4.29;"By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output
of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW.
Regulation (EU) 2023/180";No data available;
TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node. Regulation (EU) 2023/1804;"The extent of the urban nodes equipped with publicly accessible hydrogen refuel- ling stations is mostly localised in the central-northern EU (see TENtec Interactive Map Viewer). The number of Hydrogen refuelling stations is steadily increasing in the EU. The Alternative Fuels Infrastructure Regulation sets the minimum goals for hydrogen refuelling stations deployment until 2030, which should significantly increase from the current 200 operational stations
(see Clean Hydrogen Monitor 2023, p. 145)";
TA4.31;"Member States shall ensure that, by 31 December 2030, publicly accessible hydrogen refuelling stations with a total capacity of at least 1 tonne per day,
and equipped with at least a 700 bar dispenser, are deployed at least every 200 km along the TEN-T (Trans-European Transport Network) core network Regulation (EU) 2023/1804";"The extent of the urban nodes equipped with publicly accessible hydrogen refuel- ling stations is mostly localised in the central-northern EU (see TENtec Interactive Map Viewer). The number of Hydrogen refuelling stations is steadily increasing in the EU. The Alternative Fuels Infrastructure Regulation sets the minimum goals for hydrogen refuelling stations deployment until 2030, which should significantly increase from the current 200 operational stations
(see Clean Hydrogen Monitor 2023, p. 145)";
TA4.32;"States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029, at all aircraft remote stands used for commercial
air transport operations to embark or disembark passengers or to load or unload goods Regulation (EU) 2023/1804";No data available;
TA4.33;"Member States shall ensure that at least one
installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least
one installation providing shore-side electricity supply
to inland waterway vessels is deployed at all TEN-T com- prehensive inland waterway ports by 1 January 2030. Regulation (EU) 2023/1804";No data available;
TA4.34;Member States shall ensure that a minimum shore-side electricity supply for seagoing container ships and seagoing passenger ships is provided in TEN-T maritime ports. To that end, by 31 December 2029 TEN-T core and comprehensive maritime ports [...] are equipped to provide each year shore-side electricity supply for at least 90 % of the total number of port calls of seagoing container ships above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned and 90% of the total number of port calls of seagoing ro-ro passenger ships above 5.000 gross tonnes and seagoing high-speed passen- ger craft above 5.000 gross tonnes that are moored at the quayside at the maritime port concerned Regulation (EU) 2023/1804;No data available;
TA4.55;"Zero-emission in urban logistics
The new EU Urban Mobility Framework.";Although it has been estimated that urban freight is an important traffic component (10% to 15% of vehicle equivalent miles) and is responsible for 20% to 25% of urban transport related CO2 emissions [159], [160], there is no sufficient data to assess the trend.;
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;Indicator: Sales of antimicrobials for food producing animals (Source: EMA). According to the 13th European Surveillance of Veterinary Antimicrobial Consumption report, the overall sales of antimicrobials for use in food-producing animals within the EU have fallen between 2018 and 2022 by 28.3%. During this period, the overall EU sales have thus reached more than half of the reduction target, which shows that the target can be achieved by 2030.;
TA5.3;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;"Indicator: Nitrate in groundwater (Source: EEA).
The EU aggregate for nitrate content in groundwater based on 18 Member States shows a positive trend (–0.7% annual growth rate) between 2015 and 2020. However, this slight reduction is still far away from the 50% aimed by 2030. It should be noted that the long-term trend (2005-2020) for the EU aggregate was rather stagnant (0.003% annual growth rate).";
