;target_code;target_assessment
120;TA4.3;"EU shipping emissions increased by 5.6% in 2021 from the previous year, rebounding from the COVID-19 induced slump of 2020. The target for 2025 seems unlikely to be reached.
The EEA projections suggest that, even with measures currently planned in the Member States, emissions from domestic navigation are projected to remain relatively stable in the coming years. International maritime transport emissions are projected to continue increasing."
121;TA4.30;Based on charging infrastructure data from Eco-Movement 2022 and estimates of electric vehicles on the roads, most Member States are already compliant with this fleet-based target (see European Alter-native Fuels Observatory – Target tracker). Research also highlights that the total power output needed per electric vehicle (including battery electric vehicles and plug-in hybrid vehicles) is highly dependent on the share of electric cars and vans on the road, with AFIR targets on cumulative power outputs per vehicle being sufficient in the long term (when a rise in the market share of battery electric vehicles and plug-in hybrid vehicles is expected) [157].
122;TA4.31;The average specific CO2 emissions of new heavy-duty vehicles in groups 4, 5, 9 and 10 has decreased by 0.55%, from 52.75g/t.km in 2019 to 52.45g/t.km in 2020. The rate of decrease is therefore slow and acceleration is needed to achieve the targets.
123;TA4.32;The EU share (including Cyprus and Malta) was 1.28% in 2021, it increased to 1.35% in 2022. This target is currently on track.
124;TA4.33;No data available
125;TA4.34;Initiatives are ongoing and deployment of electrolysers is increasing, but it is unlikely that the target of deploying 6 GW of hydrogen generation capacity will be reached by the end of 2024.
126;TA4.36;
127;TA4.37;
128;TA4.37;
129;TA4.38;
130;TA4.39;
131;TA4.4;
132;TA4.40;
133;TA4.43;
134;TA4.44;
135;TA4.45;
136;TA4.45;
137;TA4.46;
138;TA4.47;
139;TA4.5;Several plants are being built to produce sustainable aviation fuels and sustainable aviation fuels are tested by companies. The contribution of aviation fuels is practically negligible currently. No sustainable biofuel use was reported in Eurostat in aviation in 2021.
140;TA4.50;
141;TA4.51;
142;TA4.53;
143;TA4.54;
144;TA4.55;Based on charging infrastructure data from Eco-Movement 2022 and estimates of electric vehicles on the roads, most Member States are already compliant with this fleet-based target (see European Alter-native Fuels Observatory – Target tracker). Research also highlights that the total power output needed per electric vehicle (including battery electric vehicles and plug-in hybrid vehicles) is highly dependent on the share of electric cars and vans on the road, with AFIR targets on cumulative power outputs per vehicle being sufficient in the long term (when a rise in the market share of battery electric vehicles and plug-in hybrid vehicles is expected) [157].
145;TA4.56;
146;TA4.57;
147;TA4.58;
148;TA4.6;Synthetic fuels are not available on the market, conversion pathways are at early technology development levels, facing major techno-economic challenges.
149;TA4.18;The EU share (including Cyprus and Malta) was 1.28% in 2021, it increased to 1.35% in 2022. This target is currently on track.
150;TA4.7;According to EurObserv’ER [155] the contribution of advanced biofuels already reached 1% in 2022 (indicative data). The target for 2025 has already been reached. Nevertheless, the sub-target for RFNBO of 1 percentage point for 2030 is not on track as of 2022 data, but the uptake of RFNBO is expected to grow in the coming years, providing enough time to reach the 2030 target.
151;TA4.8;"Synthetic fuels are not available on the market and conversion pathways are at early technology development levels, facing major techno-economic challenges. E-fuels facilities are still at the demo-scale, with only a few plants currently operated at the EU level [156].
RFNBOs is a promising solution for hard-to-electrify sectors, such as the maritime one. However, a market for maritime RFNBO is currently yet to develop. Regulation (EU) 2023/1805 also introduces a combination of measures to ensure the support to the uptake of sustainable RFNBOs. The deal also set a 2% renewable fuels usage target as of 2034 if the Commission reports that in 2031 RFNBO will amount to less than 1% in fuel mix."
152;TA4.9;"Following six years of steady growth in greenhouse gas emissions from the EU’s transport sector, transport emissions dropped substantially in 2020 because
of reduced activity during the COVID-19 pandemic. In 2022 they were still 6% below 2019 levels. However, Eurostat quarterly GHG emission data shows that this rebound continued in 2023. According to the Report “Towards EU climate neutrality: progress, policy gaps and opportunities” by the European Scientific Advisory Board on Climate Change, the average rate of emission reduction since 2005 (-2 MtCO2e per year) should be more than 10 times higher (-26 MtCO2e
per year in 2023-2030) to be consistent with the trajectories towards the overall 2030 net GHG emission reduction target by the EU Climate Law. When considering the 90% reduction objective for transport GHG emissions by 2050, the average rate of emission reduction should be higher (-31 MtCO2e in 2031-2050)."
153;TA5.10;Initiatives are ongoing and deployment of electrolysers is increasing, but it is unlikely that the target of deploying 6 GW of hydrogen generation capacity will be reached by the end of 2024.
154;TA5.11;Based on charging infrastructure data from Eco-Movement 2022 and estimates of electric vehicles on the roads, most Member States are already compliant with this fleet-based target (see European Alter-native Fuels Observatory – Target tracker). Research also highlights that the total power output needed per electric vehicle (including battery electric vehicles and plug-in hybrid vehicles) is highly dependent on the share of electric cars and vans on the road, with AFIR targets on cumulative power outputs per vehicle being sufficient in the long term (when a rise in the market share of battery electric vehicles and plug-in hybrid vehicles is expected) [157].
155;TA5.12;The average specific CO2 emissions of new heavy-duty vehicles in groups 4, 5, 9 and 10 has decreased by 0.55%, from 52.75g/t.km in 2019 to 52.45g/t.km in 2020. The rate of decrease is therefore slow and acceleration is needed to achieve the targets.
156;TA5.13;The EU share (including Cyprus and Malta) was 1.28% in 2021, it increased to 1.35% in 2022. This target is currently on track.
157;TA5.14;No data available
158;TA5.15;"According to
JRC study [183], the EU food system is transgressing several planetary boundaries including climate change and those related to novel entities (particulate matter, freshwater ecotoxicity). The Consumption Footprint related to food consumption
has shown an increasing trend since 2010, with the consumption of animal-based products dominating the impacts (around 70%). This increasing trend was common for most of the Member States (20 out of 27) [184].
Indicator: Consumption Footprint (Food) (Source: JRC)."
159;TA5.16;"This indicator compares agricultural income to average wages in the economy and provides an estimate of the average income opportunities
that a person would have outside of agriculture. It has increased from 31% to 52% between 2005 and 2021 at the EU level, reflecting a CAGR of 3% in this time frame. However, there are discrepancies among Member States. While in certain Member States, such as Hungary and
France, farmers' income compared to other wages in the economy has grown more than the EU average, in other Member States like Italy and
Belgium, have remained below the EU average or have shown a decreasing trend (e.g. Estonia and Austria). In addition, although the average farm income
per worker in the EU has steadily increased over the past decade (by 56% from 2013 to 2021), income levels do not only vary significantly across EU countries,
but also across the farming sector and farm size. In particular, farm economic size significantly influences income as higher costs per hectare associated with larger farms are
compensated by higher production, leading to greater overall profitability. Indicator: Farmers income compared to wages in the rest of the economy (Source: DG AGRI)."
160;TA5.17;This indicator measures the economic contribution in the agriculture, fishing and aquaculture, as well as the food, beverage, and tobacco sectors. The food, beverage, and tobacco sectors constitute the largest portion of the overall agri-food value chain (over 50%), followed by the agriculture sector. The total value added in the food and agriculture sectors has Increased from 340K in 2008 to 433.5K in 2020 in the EU, with a CAGR of 2%. The compound growth in the manufactured food sector has been higher (2.5%) than the growth in the agriculture sector (1.5%). Indicator: Value added along the food chain (Source: JRC).
161;TA5.18;This indicator is important to assess the level of investment and development in the agricultural sector. Among Member States, the level of gross fixed capital formation varies. Most Member States surpass the EU average. While countries such as France and Germany have the highest capital formation in agriculture, some Member States lag behind e.g. Czechia, Bulgaria and Estonia. In the EU, gross fixed capital formation in agriculture has increased from EUR 44 Billion in 2005 to EUR 68 Billion in 2022, corresponding to a CAGR of 2.8% and a 55% percentage increase. The growth rates also vary across Member States. As expected, the countries with highest capital formation show limited growth trend e.g. Germany, while the highest growth rates are observed in countries that had lower starting values e.g. Romania, Bulgaria. Indicator: Gross fixed capital formation in agriculture (Source: DG AGRI).
162;TA5.19;The annual average of food prices, indexed to 2015, has increased from 80% (2005) to 125% (2022), an average yearly inflation of almost 2.5%. Since 2015, food prices have risen by 25%, and the biggest increase has taken place in 2022. Indicator: Consumer food inflation (Source: Eurostat).
163;TA5.2;The average specific CO2 emissions of new heavy-duty vehicles in groups 4, 5, 9 and 10 has decreased by 0.55%, from 52.75g/t.km in 2019 to 52.45g/t.km in 2020. The rate of decrease is therefore slow and acceleration is needed to achieve the targets.
164;TA5.20;"The EU agri-food trade balance has shown stable growth over the last twenty years, despite a marginal decrease in 2022. It has reached a record level in 2023, with a total surplus of EUR 70.1 billion. While the overall agri-food trade balance shows a surplus, there are variations at the category level. The EU has a trade deficit in several product categories, with the most significant deficits observed in oilseeds
and protein crops, and some fruits and nuts. The surplus is spread across product categories, driven mainly by cereal preparations, dairy products, and wine.
Indicator: Agricultural and food products trade balance (Source: Eurostat)."
165;TA5.21;"Indicator: Rural next generation access (NGA) broadband coverage, as a % of households (Source: DG DIGIT).
Next generation access broadband availability has significantly improved over the past decade, with the percentage of households having access increasing from 18% of rural households in 2013 to 73% in 2022. However, the objective of achieving 100% coverage by 2025 is at risk at the current pace. Most Member States remain above the EU average of 73%. However, despite showing growth in the last decade, some Member States such as France (2013: 16%, 2022: 59%), Poland (2013: 18%, 2022: 40%), and Croatia (2013: >1%, 2022: 52%), still lag behind."
166;TA5.22;There have been almost no changes in the number of tonnes transported across difference distance categories. Since 2013, approximately 30% of the freight of food products, beverages and tobacco has been transported less than 50 km, and another 30% has been transported between 50 and 150 km. Between 2013 and 2021, the tonnes per kilometre transported for all activities related to the food system (agriculture, fisheries, food manufacturing, trade and services) have increased by 9%, although the tonnes per kilometre transported in the food and beverages manufacturing sector decreased by 5%. Indicator: Annual road freight transport by distance class. (Source: Eurostat).
167;TA5.23;This indicator gives total employment in agriculture, the food industry and food services in absolute terms and also as a share of total employment. The employment in the food sector by economic activity has decreased over the last decade, from 8,474 (in 2013) to 6,326 (in 2022) million persons. During this period the mean annual decrease was 2.88% based on CAGR calculation, therefore around 25% of the employment moved out from the food sector in almost a decade. The share of total employment has also decreased, from 5% (in 2013) to 3% (in 2022). This negative trend indicates a move away from the objective, which aims at creating new job opportunities in the food sector. Indicator: Employment by economic activity (Source: Eurostat).
168;TA5.24;No adequate indicator is available at the moment to assess this objective.
169;TA5.25;No adequate indicator is available at the moment to assess this objective.
170;TA5.26;
171;TA5.27;No adequate indicator is available at the moment to assess this objective.
172;TA5.28;
173;TA5.29;"The ratio plant to total protein supply indicator is derived from FAO supply data. The closer the value is to 1, the higher the contribution of plant-based sources to protein supply, the average of the previous three years is taken to reduce error variation. This indicator examines the contribution of plant food sources
to total protein (animal and plant) supply and can inform on the transition towards more plant-based food diets based on food supply data. Since 2012, a slight decrease has been observed across most EU countries (between 1 and 5%). The average ratio for the EU region has slightly decreased from 0.42 to 0.40 between 2012 and 2020. This change indicates that a transition towards increased supply of plant-based foods in the EU remains a challenge, possibly linked to a slow progress in the transition towards more plant-based diets in the region. Indicator: Ratio plant to total protein supply (Source: FAO)."
174;TA5.3;The EU share (including Cyprus and Malta) was 1.28% in 2021, it increased to 1.35% in 2022. This target is currently on track.
175;TA5.30;The percentage of population who cannot afford a healthy diet is reported by FAO and the World Bank for global monitoring. A healthy diet is considered unaffordable when its cost exceeds 52% of income per capita per day. This percentage accounts for a portion of income that can be credibly reserved for food, based on observations that the population in low-income countries spend, on average, 52% of their income on food. The estimated proportion of the population who cannot afford a healthy diet in Europe has dropped 40% from 2.5% in 2017 to 1.5% in 2021. Across EU countries, values ranged between <1% for several countries and 7% in Romania in 2021. The indicator does not account for non-food spending and likely underestimates food affordability issues in the context of the EU region. Indicator: Percent of the population who cannot afford a healthy diet in the EU (Source: FAO).
176;TA5.30;The percentage of population who cannot afford a healthy diet is reported by FAO and the World Bank for global monitoring. A healthy diet is considered unaffordable when its cost exceeds 52% of income per capita per day. This percentage accounts for a portion of income that can be credibly reserved for food, based on observations that the population in low-income countries spend, on average, 52% of their income on food. The estimated proportion of the population who cannot afford a healthy diet in Europe has dropped 40% from 2.5% in 2017 to 1.5% in 2021. Across EU countries, values ranged between <1% for several countries and 7% in Romania in 2021. The indicator does not account for non-food spending and likely underestimates food affordability issues in the context of the EU region. Indicator: Percent of the population who cannot afford a healthy diet in the EU (Source: FAO).
177;TA5.31;No adequate indicator is available at the moment to assess this objective.
178;TA5.32;In 2022, the FAO estimated that 7.8% of the population in Europe experienced moderate or severe food insecurity. Among EU countries, values for 2022 ranged between 2% in Italy and 19% in Romania. Analysis of the trends indicate prevalence of food insecurity has slightly improved until 2019 but reversed in the last years. Indicator: Prevalence of moderate or severe food insecurity in the EU population (Source: FAO).
179;TA5.32;In 2022, the FAO estimated that 7.8% of the population in Europe experienced moderate or severe food insecurity. Among EU countries, values for 2022 ranged between 2% in Italy and 19% in Romania. Analysis of the trends indicate prevalence of food insecurity has slightly improved until 2019 but reversed in the last years. Indicator: Prevalence of moderate or severe food insecurity in the EU population (Source: FAO).
180;TA5.33;"EU diets are poorly aligned with dietary recommendations, as none of the EU Member States is on track to meet the dietary- related guidelines. In the EU, no country fulfils simultaneously the recommendations for healthy food consumption [185]: the consumption of fruit, vegetables, legumes, whole grains nuts and seeds as well as milk and fish is lower than the recommended intake levels (when compared to either national food based dietary guidelines [186] or World Health Organization (WHO) and EAT-Lancet recommendations [187], [188]), while the consumption of red meat is above.
However, at the moment there is no adequate indicator available to assess the progress on this objective. The lack of regular, consistent and methodologically harmonised surveys across the EU Member States challenges the coverage and the comparability of such data, being an important gap for the use of these indicators. To overcome the lack of regularity and timeliness of the data, the development of food consumption indicators using data from national dietary surveys to monitor dietary components of healthy diets is being explored."
181;TA5.34;The indicator as reported in Eurostat indicates that the proportion of overweight adults in the EU has slightly increased from 51% in 2014 to 53% in 2019. Reversing the prevalence of overweight in the EU remains a public health challenge considering the negative trends observed.
182;TA5.35;" In the absence of agreed
categories and calculation methodology, currently, the resilience of food system cannot be described with a
single indicator."
183;TA5.4;No data available
184;TA5.5;Initiatives are ongoing and deployment of electrolysers is increasing, but it is unlikely that the target of deploying 6 GW of hydrogen generation capacity will be reached by the end of 2024.
185;TA5.6;Based on charging infrastructure data from Eco-Movement 2022 and estimates of electric vehicles on the roads, most Member States are already compliant with this fleet-based target (see European Alter-native Fuels Observatory – Target tracker). Research also highlights that the total power output needed per electric vehicle (including battery electric vehicles and plug-in hybrid vehicles) is highly dependent on the share of electric cars and vans on the road, with AFIR targets on cumulative power outputs per vehicle being sufficient in the long term (when a rise in the market share of battery electric vehicles and plug-in hybrid vehicles is expected) [157].
186;TA5.7;The average specific CO2 emissions of new heavy-duty vehicles in groups 4, 5, 9 and 10 has decreased by 0.55%, from 52.75g/t.km in 2019 to 52.45g/t.km in 2020. The rate of decrease is therefore slow and acceleration is needed to achieve the targets.
187;TA5.8;The EU share (including Cyprus and Malta) was 1.28% in 2021, it increased to 1.35% in 2022. This target is currently on track.
188;TA5.9;No data available
189;TA6.1;The 26% of EU’s land area is covered by protected areas, including 18.6% by Natura 2000 designated protected areas and 17.3% by nationally designated protected areas. If the designation of protected areas continues at the rate seen in the past decade (1.7 percentage points increase since 2011), the target will not be met [209].
190;TA6.10;The JRC has developed an indicator [212] to monitor progress in the share of agricultural area covered by landscape features, showing that currently, at the EU level, 5.6% of agricultural land is covered by landscape features. However, this indicator does not capture high-diversity landscape features and no temporal trend is available, so at this stage no conclusion can be made regarding the likelihood to reach the target.
191;TA6.11;See table above.
192;TA6.12;
193;TA6.13;See table above.
194;TA6.14;"The expected acceleration in the number of alien species introductions and establishment due to global trade (including web trade), travel, and climate change, can lead to increased adverse impacts on biodiversity and ecosystems, human health and the economy. The Regulation (EU) 1143/2014 (IAS Regulation) includes a set of measures to be taken across the EU in relation to IAS, aiming
to prevent, minimise and mitigate their adverse impacts. The implementation is underpinned by EASIN (European Alien Species Information Network), which also hosts the European early warning system on IAS of Union concern. The actions fostered by the EU biodiversity Strategy for 2023 aim at stepping up the IAS Regulation and other relevant legislation and international agreements with the objective of managing established IAS, decreasing the number of Red List species they threaten."
195;TA6.15;The average river nitrate concentration in Europe decreased steadily over the period 1992-2009 but has levelled off since then. Agriculture remains the main contributor to nitrogen pollution, but the EU Nitrates Directive and national measures have contributed to lower concentrations. However, the apparent stabilisation in recent years calls for further measures
196;TA6.16;No data is yet available.
197;TA6.17;
198;TA6.18;
199;TA6.2;12% of EU's sea area is currently covered by protected areas, including 9% by Natura 2000 designated protected areas and 4.5% by nationally designated protected areas.
200;TA6.21;
201;TA6.26;
202;TA6.27;
203;TA6.28;In the Northeast Atlantic (both EU and non-EU waters), stock status has significantly improved from 2003 to 2021, but still an important share of stocks is overexploited.
204;TA6.3;"Indicators are missing to check whether the EU is on track or not. Seven out of
the nine actions set in the EU BDS to foster biodiversity protection in the EU still need to be implemented by 2030, but they all appear on track so far. Member States did not report official information reported to EEA. An independent scientific assessment [210] shows that currently only 3.5 % of protected areas are strictly protected."
205;TA6.32;Data on the extension of areas under restoration measures are not yet available at the EU level.
206;TA6.33;"The EU has reached only 12% of MPA, with less than 1% being strictly protected. In addition, for sea bird species connectivity, it is important to align the BDS and the REPowerEU targets. For habitat connectivity, it is crucial to develop a useful indicator in time for Member States' reporting.
Because of the recent approval of the Nature Restoration Law, not enough data is available yet."
207;TA6.34;Considering the last report on the conservation status and trends in conservation status of marina habitats, a significant percentage of their status remains unknown [206]. Member States should implement more effective monitoring program to assess the status of marine habitats to achieve this target.
208;TA6.35;The EU has reached so far 26% terrestrial protected area and 12% of MPA.
209;TA6.36;Recent EU-wide data to measure this target according to the reference year of the regulation is not available yet. However, national data from Member States might be available
210;TA6.37;Data on urban green space is not yet available, nor is the implementing act that provides a methodology to identify satisfactory levels.
211;TA6.38;Data on tree canopy cover is not yet available, nor is the implementing act that provides a methodology to identify satisfactory levels.
212;TA6.39;The JRC and the EEA are developing an indicator to characterise the number of free-flowing rivers, no data is available yet.
213;TA6.4;The target has been welcomed and endorsed by the European Council, which is key for this target. The Commission issued Guidelines [211]for defining, mapping, monitoring and strictly protecting EU Primary and Old-Growth Forests in 2023. However, there is still a lack of a clear, uniform definition of what constitutes primary and old-growth forests. As a result, while it is likely that the target will be met, it remains unclear whether all forests that should be protected will actually receive protection.
214;TA6.40;Based on trends in the grassland butterfly index, pollinators are still declining. Another indicator that would include more pollinators is under development to better characterise the decline of pollinators.
215;TA6.41;"The EU has reached only 12% of MPA, with less than 1% being strictly protected. The target could be partially achieved if the NRL is immediately implemented (including a clear financial system), along with the targets of the Biodiversity Strategy (i.e. 30% MPA and 10% strictly protected areas), and if Member States react in a timely manner.
The complete achievement of the target is strictly dependent on the restoration methods and selected marine ecosystems to be restored. The timescale of the recovery period varies as diverse are the marine habitats to restore. Beyond this there are other challenges that Member States have to face [205].
The actual implementation of the BDS target on effective marine protected areas (30% overall and 10% strictly protected by 2030), through passive restoration method, as well as the other directives (e.g. WFD and MSFD), and the 2023 Marine Action Plan would contribute to achieve this target.
Regarding the condition and restoration, there are only two ways to judge this: (a) comparison with old large fully protected MPA, and (b) the use of indicators, some of which still need to be developed. There is no data on how impacted most areas are, but indicators such as present fishing activities altering food webs, or bottom trawling and dredging destroying benthic habitats, would contribute to the final assessment. However, the precautionary principle should be applied, assuming marine ecosystems everywhere are impacted unless evidence suggests otherwise."
216;TA6.42;"Considering the last report on the conservation status and trend in conservation status of marine habitats, most of the marine areas are between categories UNFAVOURABLE (U1/U2) and UNKNOWN (XX) status.
There are some examples of restoration measures already put in place across European Sea, but without an immediate implementation of NRL, as well as other directives (e.g. BDBS, WFD, MSFD), the EGD target would not be achieved Additional observation: As mentioned before, marine restoration can be achieved passively by no take MPA. Therefore, the increase in area that is fully protected would be a reasonable indicator of restoration. To the best of available knowledge, there is no evidence that part-protection works. Evidence of recovered species usually appear within five years but full recovery e.g. of urchin-kelp trophic cascades, may take 20 years. Since restoration is by definition a return to fully natural conditions, partly protected areas do not qualify as restoration.
Regarding the condition and restoration of marine areas, there are only two ways to judge this: (a) comparison with old, large fully protected MPA, and (b) the use of indicators, some of which still need to be developed. There is no data on how impacted most areas are, but indicators such as current fishing activities altering food webs, or bottom trawling and dredging destroying benthic habitats, would contribute to the final assessment. However, the precautionary principle should be applied, assuming marine ecosystems everywhere are impacted unless evidence suggests otherwise."
217;TA6.43;In the last report on the conservation status and trend in conservation status of marine habitats, there is still a quite important percentage of marine environ- ments with UNKNOWN status (either XX or U1/U2) [206]. Member States should implement more effective monitoring programmes to assess the status of marine habitats in order to achieve the EGD target.
218;TA6.44;At the moment the trend in the grassland butterfly index is still declining. The carbon stocks in EU agricultural soils have declined by 0.75% in the period 2009-2018 based on measured LUCAS data. So at the moment at least 2 out of three indicators are moving against the desired direction [199].
219;TA6.45;The common farmland bird index is steadily decreasing [207], [208].
220;TA6.46;The EU Soil Observatory (EUSO) established [196], [197] that over 60% of the EU land is affected by soil degradation. This is considered an underestimation due to the lack of data currently available.
221;TA6.47;At the time of writing (mid-2024), over 23.000.000 trees have been planted since 2021 (see the Live Status Counter for EU dashboard). The pace of new trees planted has to massively speed up to reach the target by 2030.
222;TA6.48;New target, data not yet available
223;TA6.49;After a steady decline over the period 1992-2010, common forest bird populations have stopped deteriorating and started showing some signs of recovery since 2010 [2], [207], [208]. Next data points for the common forest bird index will be crucial to confirm this recent increasing trend.
224;TA6.5;
225;TA6.50;"Over the 2012-2018 period, the majority (78%) of the net land take happened in commuting zones. The net land take in urban areas during 2012-2018 amounted to 2.696 km2, corresponding to 450km2 annually. 1 415km2 or 47% of all land take took place in arable lands, impacting food security, carbon sequestration and the maintaining of biodiversity. The second largest land take took place
  in pastures — a loss of 945km2 or 36% of all land take. Pastures are among Europe’s most important biodiversity hotspots and soil carbon sinks."
226;TA6.51;"The level of access to clean drinking water in Europe is high according to the WASH database by the WHO and UNICEF. However, as reported by the EEA,
the levels of treatment and accessibility are lower in rural areas than in urban locations. Disparities in access to safe drinking water among ethnic groups in Europe emerged as well. The revised Drinking Water Directive includes additional parameters than the 46 microbiological, chemical and indicator parameters of the first Drinking Water Directive. The new parameters include per- and polyfluorinated compounds and bisphenol A, setting limit values for their presence in drinking water. As of the end of 2022, EU level data on drinking water quality were still limited, with the latest data available dating from 2011 and 2013. The new directive also foresees a watch list mechanism for emerging pollutants.
The Directive’s Impact Assessment includes the calculation of the “SAPEA” Popu- lation Potentially at Health Risk indicator, estimating the share of the population that could potentially suffer from health problems because of the presence of contaminants in drinking water. According to the indicator, in 2015, 22.7 million people were potentially at health risk due to non-safe drinking water, equivalent
to 4 % of the EU population. The revised Directive is expected to positively impact drinking water quality. However, estimated data for 2015 is not sufficient to assess the status of drinking water quality with respect to its evolution over time and new additional parameters by the revised directive, as confirmed by the EEA. Member States have started complying with the reporting requirements in 2023."
227;TA6.52;In the European Union, air pollution is the single largest environmental health risk, causing cardiovascular and respiratory diseases that lead to the loss of healthy years of life and, in the most serious cases, premature deaths (about 240 000 reported in the European Union (EU) for 2021). Although emissions of air pollutants have been reduced over recent decades (primarily as a result of legislation), air quality remains a major concern in many parts of Europe. Air quality limits set by EU legislation for particulate matter, nitrogen dioxide and ozone continue to be exceeded, especially in many urban areas.
228;TA6.54;
229;TA6.55;
230;TA6.56;
231;TA6.57;
232;TA6.58;
233;TA6.59;
234;TA6.60;
235;TA6.62;Before the introduction of the Regulation, the EU was not equipped with a legislative framework for water reuse. More than 40,000 million m3 of waste- water is treated in the EU every year but only the 2.4% is further treated to be reused. As of April 2024, water reuse for agricultural irrigation is allowed in most Member States. Some Member States, where freshwater resources are abundant and irrigation demand is low, have planned not to allow water reuse for irrigation in their countries. Some Member States have not yet made a final decision, as resource and infrastructure costs still are being evaluated (source: WISE Freshwater website).
236;TA6.63;
237;TA6.7;See table above.
238;TA6.8;See table above.
239;TA6.9;"Indicator: Use and risk of chemical pesticides (Source: DG SANTE).
According to a trend analysis by DG SANTE, the use and risk of chemical pesticides decreased by 14% between the baseline period of 2015–2017 and 2020. The use and risk of chemical pesticides shows a decrease of 6% from 2020, and an overall decrease in the first four years of observation of 33% from the baseline period of 2015-2017. These overall downward trends shows that the first part of the target can be achieved by 2030 [182]. On the other side, according to data published
by DG SANTE, the use of more hazardous pesticides fell by 21% between the baseline period of 2015–2017 and 2021. The use of more hazardous pesticides shows an increase of 5% from 2020 to 2021. Achievement of the 50% reduction target by 2030 remains challenging. It should be noted, while this indicator intends to monitor the use of the more hazardous pesticides, it does not take into account the exposure and hence the impact they might have on the environment and human health. In the future, this indicator should be complemented with a risk indicator showing changes in the actual risks.
1 It should be noted that the current EU-wide indicator, which applies risk weightings to four differ- ent groups of chemical pesticides and is based on pesticide sales, is not considered scientifically robust by some. This indicator is based on a similar harmonised risk indicator, which, according
to the European legislation (Commission Directive (EU) 2019/782), is considered hazard-based. This is due to the absence of statistics on the use of plant protection products needed to develop a risk indicator. The Commission is committed to developing more sophisticated indicators in future, such as improved weightings that take hazard properties into account in a more granular way or by using EU-level data on pesticide usage when it becomes available. An example of
such an improvement is the new risk indicator assessing the toxicity of pesticide residues in soil from samples collected under the LUCAS Soil Pesticide survey coordinated by JRC. According to this indicator, in 2018, 14% of sites in the EU were at risk of negative effects on soil organisms due to pesticide residues. The analysis of samples from 2022 is currently ongoing and will shed light on the EU’s progress towards pesticide risk reductions. This indicator is relevant to only one compartment (soil) but is just one of many being examined for usefulness and relevance. "
240;TA7.1;
241;TA7.1;
242;TA7.10;Concentration of plastic litter at sea: 14% reduction of plastic litter (in 8% of the basin surface of the Mediterranean Sea and 44% of all beaches) with a total ban on single-use-plastic items. Source: Zero Pollution Outlook [218].
243;TA7.12;
244;TA7.13;Current and proposed EU policies do not appear sufficient to enable the EU to reduce the area of EU ecosystems under threat from air pollution by 25% in 2030 compared to 2005. Nonetheless, with the implementation of the recently revised of the Ambient Air Quality Directives, this target could be achieved. Source: Zero Pollution Outlook [218].
245;TA7.14;Current estimates show that the number will not decline by more than 19% by 2030. Source: Zero Pollution Outlook [218].
246;TA7.15;The EU Soil Health Assessment (see EUSO Dashboard) estimated that 60-70% of EU soils are not in healthy condition, in accordance also with other reports [196], [238]. 25% of the EU soils and 33% of EU Agricultural soils have soil erosion rates higher than sustainability ones. Soil erosion has decreased by around 10% in the period 2000-2016, but future trends are alarming due to climate change. Soil loss by water erosion is projected to increase by 13–22.5 % in EU and UK by 2050.
247;TA7.16;"Micro-pollutants pose a significant challenge. The necessity of removing them
at wastewater treatment facilities increases treatment costs, and complete removal is not always feasible. The proposal encourages more proactive measures upstream by reducing emissions at their source. By avoiding water pollution, the proposal will also benefit the potential for water reuse. The enhanced watch list mechanism requiring Member States to monitor new substances, will enable
the Commission, with the support of the European Chemicals Agency and the Member States, to determine the need for additional or stricter quality standards. More frequent reporting of actual monitoring data, and its analysis by the EEA, will provide the EU Institutions, Member States, and the general public with a more precise and current understanding of the status of surface and groundwater bodies in the EU. The analysis of more regular monitoring and status data will effectively feed into the broader Zero Pollution Monitoring and Outlook framework"
248;TA7.17;
249;TA7.18;
250;TA7.19;
251;TA7.2;
252;TA7.20;
253;TA7.21;
254;TA7.22;
255;TA7.23;
256;TA7.24;
257;TA7.3;
258;TA7.4;The IED is a key instrument to support the transition of the EU industry towards a climate neutral, clean and circular economy. The revised legislation will lead to a considerable reduction of pollution from industry and level the playing field. For example, it is expected to deliver, latest by 2050, up to 40% additional reduction of key air pollutants.
