thematic_area_code;thematic_area;sub_theme;target_code;target_content;sub_theme_justification;target_assessment;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;TA3.1;Halve the amount of residual (non-recycled) municipal waste;This target is assigned to the Waste Reduction - Municipal Waste sub-theme as it mentions reducing residual municipal waste.;"For this target, 2020 was assumed as the reference year, since the new CEAP was published in March 2020. This target is also recalled in the 'Zero Pollution Action Plan'. The target aims at halving the amount of residual municipal waste by 2030. Assuming as a reference year the 2020, the residual municipal waste should be reduced from 119 to 59.5 Mtonnes.
Looking at historical trends, the amount of residual municipal waste decreased by only 5% in the time frame 2012-2021 and slightly increased in the last seven years (2015-2021, +2.6%). Despite increasing recycling levels, the amount of waste generated is increasing at a higher pace [130].";
TA3;TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction & Import;TA3.10;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;This target is assigned to the Critical Raw Materials - Extraction & Import sub-theme as it mentions ensuring access to critical raw materials through recycling.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction & Import;TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries, none of which provide more than 65% of the Union's annual consumption;This target is assigned to the Critical Raw Materials - Extraction & Import sub-theme as it mentions diversifying imports of strategic raw materials.;Half of the 16 strategic raw materials have values above the 65% target, therefore there is a low diversification of sourcing countries. These include bismuth, gallium, lithium, magnesium, platinum group metals, and both heavy and light rare earth elements.;
TA3;TA3_Industrial strategy for a clean and circular economy;Net-Zero Technology - Manufacturing;TA3.12;by 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;This target is assigned to the Net-Zero Technology - Manufacturing sub-theme as it mentions increasing manufacturing capacity for net-zero technologies.;Target set in 2023, data is currently not available to assess this target.;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.15;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall ensure that all waste portable batteries, Light Means of Transport (LMT) and SLI batteries, regardless of their nature, chemical composition, condition, brand or origin, are collected separately in the territory of a Member State where they make these batteries available on the market for the first time.;This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme as it mentions collecting waste batteries separately.;Currently, there is no official monitoring system in place and therefore it is not possible to assess if the target will be reached.;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.16;Producers of portable batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: 45 % by 31 December 2023, 63 % by 31 December 2027, 73 % by 31 December 2030.;This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme as it mentions setting collection targets for waste portable batteries.;"The calculation methodology is under development and these targets will be updated accordingly, whilst maintaining the same level of ambition.
Currently, there is no robust data to assess the distance to the targets (e.g. due to new types of batteries entering in the markets, longer lifetime of batteries, new applications).
Assuming the ambition of the targets, attention might be paid in the implementa- tion phase at Member State level.";
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.17;Producers of LMT (Light Means of Transport) batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: 51 % by 31 December 2028, 61 % by 31 December 2031.;This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme as it mentions setting collection targets for waste LMT batteries.;The calculation methodology is under development and these targets will be updated accordingly, whilst maintaining the same level of ambition. Considering that light means of transport batteries represent a new market and collection systems need to be adapted, currently it is not possible to assess whether these ambitious targets are reachable or not.;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.18;Recycled content in industrial batteries, electric vehicle batteries, LMT batteries and SLI batteries: Cobalt:  16 % by 2031 (26% by 2036), Lead: 85% (85%), Nickel: 6% (12%), Lithium 6% (15%);This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme as it mentions setting recycled content targets for batteries.;"The assessment methodology is under development. Therefore, it is not possible to assess whether all producers will be able to reach these targets.
JRC internal calculations show that these targets are in principle feasible, although significant changes in the industrial production systems are needed.";
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.19;All batteries incorporated in market products shall be readily removable and replaceable by the end-user at any time during the lifetime (except some derogations);This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme as it mentions making batteries removable and replaceable.;This target is ambitious with a very wide coverage of products, many of which are expected to be redesigned in order to be compliant. However, high uncertainty on distance to target lies with existence of derogations and the challenge to establish them at product-specific level. The Delegated Acts expected to specify deroga- tions are not yet in place. Verification and procedures to accept/reject derogation applications will also need to be defined in the Delegated Acts.;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;TA3.2;Reduce landfill to a maximum of 10% of municipal waste;This target is assigned to the Waste Reduction - Municipal Waste sub-theme as it mentions reducing landfill waste.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries No later than 31 December 2030 - 80% by average weight of lead-acid batteries;This target is assigned to the Circularity/Recycling - Municipal Waste sub-theme as it mentions setting recycling efficiency targets.;"Based on current draft guidance for calculation and verification rules for recycling efficiency, the targets for lead-acid, nickel-cadmium and other waste batteries are feasible.
Since, for lead-acid batteries, the battery chemistry and related recycling technologies are fully mature and efficient. For both nickel-cadmium and other waste batteries, it will be important to monitor the performances due to the evolving market for these chemistries.";
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 65% by average weight of lithium-based batteries, No later than 31 December 2030 - 70% by average weight of lithium-based batteries;This target is assigned to the Circularity/Recycling - Municipal Waste sub-theme as it mentions setting recycling efficiency targets for lithium-based batteries.;The 2025 target for lithium-based batteries is in principle feasible, however due to the increasing diversity of lithium-based batteries on the market, it is important to closely monitor the performance towards the target. Furthermore, there are some improvement opportunities when data is available, recycling systems are established and when the target is revised by 2027.;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;TA3.22;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 - 90% for cobalt, copper, lead and nickel, No later than 31 December 2031: - 95% for cobalt, copper, lead, and nickel;This target is assigned to the Circularity/Recycling - Municipal Waste sub-theme as it mentions setting recovery targets for materials.;Based on the current draft guidance for the calculation and verification rules for material recovery, the targets for cobalt, copper, lead and nickel are feasible.;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;TA3.23;All recycling shall achieve at least the following targets for recovery of materials: No later than 31 December 2027 - 50% lithium No later than 31 December 2031: - 80% lithium;This target is assigned to the Circularity/Recycling - Municipal Waste sub-theme as it mentions setting recovery targets for lithium.;Based on the current draft guidance for the calculation and verification rules, the target for lithium is in principle feasible. Significant investments in lithium recycling systems are required.;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Food Waste;TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;This target is assigned to the Waste Reduction - Food Waste sub-theme as it mentions reducing food waste in processing and manufacturing.;Data for these targets is only available for 2020 and for 2021 in Eurostat, therefore it is still early to define a clear trend. However, based on the analysis performed in the impact assessment of the Proposal for a Directive amending Directive 2008/98/EC on waste [108], it is possible to estimate that the target is feasible, but progress needs to accelerate to reach the target value.;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Food Waste;TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30 % in comparison to the amount generated in 2020;This target is assigned to the Waste Reduction - Food Waste sub-theme as it mentions reducing food waste per capita.;Data for these targets is only available for 2020 and for 2021 in Eurostat, therefore it is still early to define a clear trend. However, based on the analysis performed in the impact assessment of the Proposal for a Directive amending Directive 2008/98/EC on waste [108], it is possible to estimate that the target is feasible, but progress needs to accelerate to reach the target value.;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;TA3.27;Making all packaging recyclable (see European Parliament resolution of 10 February 2021 on the New Circular Economy Action Plan, the New Circular Economy Action Plan and art. 5 of this Proposal);This target is assigned to the Circularity/Recycling - Plastic & Packaging sub-theme as it mentions making all packaging recyclable.;Criteria and assessment methodology under development;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste, per unit of packaging: From 1 January 2030 (i) 30% for contact sensitive packaging made from polyethylene terephthalate (PET) as major component, (ii) 10% for contact sensitive made from plastic materials other than PET, except single use plastic bottles, (iii) 30% for single use plastic beverage bottles, (iv) 35% for other plastic packaging;This target is assigned to the Circularity/Recycling - Plastic & Packaging sub-theme as it mentions setting minimum recycled content targets for packaging.;Currently, there are no official statistics on the recycled content in plastic packaging, due to the lack of EU guidelines on calculating and reporting recycled content. As of 2022, there is no recycled content in food-contact (non-PET) plastic packaging, 20% in PET packaging and 14% for other plastic packaging [126], [127]. These recycled content rates are still far away from the 2030 targets of 10%, 30% and 35% for each plastic packaging category, respectively.;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Plastic & Packaging;TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter;This target is assigned to the Waste Reduction - Plastic & Packaging sub-theme as it mentions reducing the consumption of lightweight plastic carrier bags.;Data are only available for 18 Member States, 12 Member States have already achieved the 2025 target. The 6 other Member States that are have not met the target yet have indicated a clear drop from 2018 plastic bag consumption values, suggesting that these Member States are on track to reach the 2025 target. Currently, data are not available for the following 9 Member States: Bulgaria, Denmark, Estonia, Greece, Italy, Malta, Netherlands, Romania and Finland [124].;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling;TA3.3;Double its circular material use rate in the coming decade;This target is assigned to the Circularity/Recycling sub-theme as it mentions increasing the circular material use rate.;This target aims to increase the circular material use rate (CMUR) from 11.7% in 2020 to 23.4% in 2030. At the EU level, this target has been steady since 2010, registering an increase of less than 1 percentage point [131]. As such, there is a stagnation in the pace of improvement of the CMUR indicator. At the Member State level, CMUR shows a high variability with values ranging from 0.6 to 27.5% in 2022.;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Plastic & Packaging;TA3.30;Reduce packaging waste by 5% per Member State per capita compared to 2018 by 2030, 10% by 2035 and 15% by 2040;This target is assigned to the Waste Reduction - Plastic & Packaging sub-theme as it mentions reducing packaging waste.;"On average, the packaging waste generated increased from 157 kg per person in 2011 to 178 kg per person in 2020. Most Member States have reported
a steady growth in packaging waste generation per capita in the period of 2011-2020, particularly Romania, Bulgaria, Croatia, Hungary, Poland and Czechia [99]. Currently, none of the Member States is on track to reach the packaging waste reduction targets. However, the newly agreed Plastic and Packaging Waste Regulation intends to bend the currently observed stagnant or upward trend of packaging waste generation through a number of measures, in particular binding reuse and refill requirements.";
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;TA3.31;Recycling or preparing for re-use 65% of all packaging waste by 2025, 70% by 2030;This target is assigned to the Circularity/Recycling - Plastic & Packaging sub-theme as it mentions setting recycling targets for packaging waste.;For all packaging at the EU level2, the 2025 recycling rate target is feasible. However, 10 Member States are at risk of missing the 2025 target, including Bulgaria, Croatia, Cyprus, Greece, Hungary, Lithuania, Malta, Poland, Romania and Slovakia [125].;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;TA3.32;Recycling of plastic in packaging: 55%;This target is assigned to the Circularity/Recycling - Plastic & Packaging sub-theme as it mentions setting a recycling target for plastic in packaging.;"Plastic is the most critical packaging category for which the targets are clearly above current levels of recycling. 19 Member States are at risk of missing the 2025 target, including Austria, Bulgaria, Croatia, Cyprus, Denmark, Finland, France, Greece, Hungary, Ireland, Italy, Latvia, Luxembourg, Malta, Poland, Portugal, Romania, Slovakia and Spain [125].
2 EU-level, based on a weighted average between Member State population and recycling rate percentage.";
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;TA3.33;Recycling of wood in packaging: 30%;This target is assigned to the Circularity/Recycling - Plastic & Packaging sub-theme as it mentions setting a recycling target for wood in packaging.;For wooden packaging at the EU level2, the recycling rates are very feasible or have already been achieved. Nonetheless, Croatia and Malta are at risk of missing the 2025 target [125].;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;TA3.34;Recycling of ferrous metals in packaging: 80%;This target is assigned to the Circularity/Recycling - Plastic & Packaging sub-theme as it mentions setting a recycling target for ferrous metals in packaging.;Considering the high recycling rates for metallic packaging at the EU level2, the 2025 and 2030 recycling targets seem achievable. However, 5 Member States are at risk of missing the 2025 target, including Croatia, Denmark, Malta, Portugal and Romania [125].;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;TA3.35;Recycling of aluminium in packaging: 60%;This target is assigned to the Circularity/Recycling - Plastic & Packaging sub-theme as it mentions setting a recycling target for aluminium in packaging.;Similarly for aluminium, the high recycling rates registered for metallic packaging suggest that both recycling targets are achievable, at least at the EU level2. Nonetheless, 9 Member States are at risk of missing the 2025 target, including Croatia, Cyprus, Czechia, Greece, Malta, Portugal, Romania, Slovakia and Spain [125].;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;TA3.36;Recycling of glass in packaging: 75%;This target is assigned to the Circularity/Recycling - Plastic & Packaging sub-theme as it mentions setting a recycling target for glass in packaging.;For glass packaging, at least at the EU level2, the recycling rate targets are very feasible or have already been achieved. Several Member States are at risk of missing the 2025 target, including Bulgaria, Croatia, Cyprus, Greece, Hungary, Lithuania, Malta, Poland, Portugal and Romania [125].;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;TA3.37;Recycling of paper and cardboard in packaging: 85%;This target is assigned to the Circularity/Recycling - Plastic & Packaging sub-theme as it mentions setting a recycling target for paper and cardboard in packaging.;"For paper and cardboard packaging, at least at the EU level2, the recycling rate targets are very feasible or have already been achieved. Nonetheless, Croatia, Malta, Slovakia and Spain are at risk of missing the 2025 target [125].
2 EU-level, based on a weighted average between Member State population and recycling rate percentage.";
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;TA3.39;From 2025, beverage bottles listed in Part F of the Annex which are manufactured from polyethylene terephthalate as the major component (‘PET bottles’) contain at least 25 % recycled plastic, calculated as an average for all PET bottles placed on the market on the territory of that Member State;This target is assigned to the Circularity/Recycling - Plastic & Packaging sub-theme as it mentions setting a minimum recycled content target for PET bottles.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Textile Waste;TA3.4;By 2030 textile products placed on the EU market are long-lived and recyclable, to a great extent made of recycled fibres, free of hazardous substances and produced in respect of social rights and the environment;This target is assigned to Circularity/Recycling - Textile Waste as it specifically mentions the recycling and recyclability of textile products.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;TA3.4;By 2030 textile products placed on the EU market are long-lived and recyclable, to a great extent made of recycled fibres, free of hazardous substances and produced in respect of social rights and the environment;This target is also assigned to Waste Reduction - Municipal Waste as it aims to reduce waste by promoting recyclable and recycled products.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;TA3.40;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;This target is assigned to Circularity/Recycling - Plastic & Packaging as it specifically mentions the recycling of plastic beverage bottles.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Plastic & Packaging;TA3.40;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;This target is also assigned to Waste Reduction - Plastic & Packaging as it aims to reduce plastic waste by promoting recycling.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;TA3.41;From 2019, the minimum collection rate to be achieved annually shall be 65 % of the average weight of EEE placed on the market in the three preceding years in the Member State concerned, or alternatively 85 % of WEEE generated on the territory of that Member State.;This target is assigned to Circularity/Recycling - Municipal Waste as it mentions the collection rate of waste electronic equipment.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;TA3.41;From 2019, the minimum collection rate to be achieved annually shall be 65 % of the average weight of EEE placed on the market in the three preceding years in the Member State concerned, or alternatively 85 % of WEEE generated on the territory of that Member State.;This target is also assigned to Waste Reduction - Municipal Waste as it aims to reduce waste by promoting recycling.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;TA3.42;From 15 August 2018, the recovery targets for the WEEE falling within the following categories of Annex III shall be: - 85% for Category 1 (temperature exchange equipment) or Category 4 (large equipment with any external dimension more than 50 cm) - 80% for Category 2 (e.g., screens and monitors) - 75% for Category 5 (small equipment with no external dimension more than 50 cm) or 6 (Small IT and telecommunication equipment with no external dimension more than 50 cm).;This target is assigned to Circularity/Recycling - Municipal Waste as it mentions the recovery targets for waste electronic equipment.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;TA3.42;From 15 August 2018, the recovery targets for the WEEE falling within the following categories of Annex III shall be: - 85% for Category 1 (temperature exchange equipment) or Category 4 (large equipment with any external dimension more than 50 cm) - 80% for Category 2 (e.g., screens and monitors) - 75% for Category 5 (small equipment with no external dimension more than 50 cm) or 6 (Small IT and telecommunication equipment with no external dimension more than 50 cm).;This target is also assigned to Waste Reduction - Municipal Waste as it aims to reduce waste by promoting recycling.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;TA3.43;From 15 August 2018, the preparation for re-use targets for the WEEE falling within the following categories of Annex III shall be: - 80% for Category 1 or Category 4  - 70% for Category 2  - 55% for Category 5 or Category 6;This target is assigned to Circularity/Recycling - Municipal Waste as it mentions the preparation for re-use targets for waste electronic equipment.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;TA3.43;From 15 August 2018, the preparation for re-use targets for the WEEE falling within the following categories of Annex III shall be: - 80% for Category 1 or Category 4  - 70% for Category 2  - 55% for Category 5 or Category 6;This target is also assigned to Waste Reduction - Municipal Waste as it aims to reduce waste by promoting recycling.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;TA3.44;From 15 August 2018, the recycling targets for the WEEE falling within the following categories of Annex III shall be: - 0% for Category 1 or Category 4  - 70% for Category 2  - 55% for Category 5 or Category 6;This target is assigned to Circularity/Recycling - Municipal Waste as it mentions the recycling targets for waste electronic equipment.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;TA3.44;From 15 August 2018, the recycling targets for the WEEE falling within the following categories of Annex III shall be: - 0% for Category 1 or Category 4  - 70% for Category 2  - 55% for Category 5 or Category 6;This target is also assigned to Waste Reduction - Municipal Waste as it aims to reduce waste by promoting recycling.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;TA3.45;By 2025, the preparing for re-use and recycling of municipal waste shall be increased to a minimum of 55% by weight (60% by 2030, 65% by 2035);This target is assigned to Circularity/Recycling - Municipal Waste as it mentions the preparation for re-use and recycling of municipal waste.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;TA3.45;By 2025, the preparing for re-use and recycling of municipal waste shall be increased to a minimum of 55% by weight (60% by 2030, 65% by 2035);This target is also assigned to Waste Reduction - Municipal Waste as it aims to reduce waste by promoting recycling.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Food Waste;TA3.46;Member States should aim to achieve an indicative Union-wide food waste reduction target of 30 % by 2025 and 50 % by 2030;This target is assigned to Waste Reduction - Food Waste as it specifically mentions the reduction of food waste.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Textile Waste;TA3.47;Hazardous household waste will have to be collected separately by 2022, bio-waste by 2023 and textiles by 2025;This target is also assigned to Circularity/Recycling - Textile Waste as it specifically mentions the collection of textiles.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;TA3.47;Hazardous household waste will have to be collected separately by 2022, bio-waste by 2023 and textiles by 2025;This target is assigned to Waste Reduction - Municipal Waste as it mentions the separate collection of hazardous household waste, bio-waste, and textiles.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Textile Waste;TA3.5;By 2030 producers will have responsibility for their products along the value chain, including when they become waste. The circular textiles ecosystem is thriving, driven by sufficient capacities for innovative fibre-to-fibre recycling, while the incineration and landfilling of textiles is reduced to the minimum.;This target is assigned to Circularity/Recycling - Textile Waste as it specifically mentions the circular textiles ecosystem and fibre-to-fibre recycling.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;TA3.5;By 2030 producers will have responsibility for their products along the value chain, including when they become waste. The circular textiles ecosystem is thriving, driven by sufficient capacities for innovative fibre-to-fibre recycling, while the incineration and landfilling of textiles is reduced to the minimum.;This target is also assigned to Waste Reduction - Municipal Waste as it aims to reduce waste by promoting recycling.;;
TA3;TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction & Import;TA3.8;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's extraction capacity is able to extract the ores, minerals or concentrates needed to produce at least 10% of the Union's annual consumption of strategic raw materials, to the extent that the Union’s reserves allow for this;This target is assigned to Critical Raw Materials - Extraction & Import as it specifically mentions the extraction capacity of critical raw materials.;"The historical time trends (2011-2022) for EU self-sufficiency at extraction phase for the 16 strategic materials can be extracted based on data from [121], [122] and [123]. Results show that:
- In 2022, cobalt, copper, lithium and nickel were above the benchmark of 10%, while their trends have been stably above the benchmark (i.e. copper and nickel) or increased slightly in the period 2011-2022 (i.e. cobalt and lithium)1.
- For bismuth, boron, gallium, germanium, magnesium, natural graphite, titanium, platinum group metals, heavy rare earth elements and light rare earth elements, the EU’s self-sufficiency has always been below 2%.
- Between 2016 and 2022, the EU’s self-sufficiency for manganese was below the benchmark, with values ranging from 4 to 10% in the time frame 2016-2022.
1 Due to high volatility on the data for tungsten (only two date points available from EC studies), this material is not included in the analysis.";
TA3;TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction & Import;TA3.9;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's processing capacity, including for all intermediate processing steps, is able to produce at least 40% of the Union's annual consumption of strategic raw materials;This target is assigned to Critical Raw Materials - Extraction & Import as it specifically mentions the processing capacity of critical raw materials.;"The historical time trends (2011-2022) for the EU self-sufficiency at processing phase for the 16 strategic materials can be extracted based on data from [121] and [122] and [123]. Results show that:
- The EU’s self-sufficiency for copper, cobalt and germanium was above the benchmark in 2022. For copper, this value has been stably above 80% in the period 2011-2022. For cobalt and germanium, the trend was fluctuating and more unstable, but increasing in between 2018 and 2022.
- The EU’s self-sufficiency was below the benchmark in 2022 for bismuth, boron, gallium and platinum group metals, with gallium showing a drastic decrease from 2011 (100%) to 2022 (2%).
- The EU has no self-sufficiency to process lithium, magnesium, natural graphite, titanium, and both heavy and light rare earth elements, while there is no sufficient data available for tungsten, nickel and manganese.";
TA4;TA4_Sustainable and smart mobility;Renewable Energy - Hydrogen Production;TA4.1;*The amendments in Dir. 2023/2413 are also intended to support the achievement of the Union’s target of an annual production of sustainable biomethane of 35 billion cubic meters by 2030, set out in the SWD(2022) 230 of 18 May 2022 accompanying the REPowerEU Plan;This target is assigned to Renewable Energy - Hydrogen as it specifically mentions the production of sustainable biomethane.;In 2021, the total biomethane production in the EU was 3.5 billion cubic meters, produced in about 1300 biomethane plants. Production increased in 2022 to reach 4.2 bcm. In order to reach 35 billion cubic meters, an estimate of 5000 additional plants are required. .;
TA4;TA4_Sustainable and smart mobility;Biofuels;TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030 Directive (EU) 2023/2413;manual choice;In 2021, the total biomethane production in the EU was 3.5 billion cubic meters, produced in about 1300 biomethane plants. Production increased in 2022 to reach 4.2 bcm. In order to reach 35 billion cubic meters, an estimate of 5000 additional plants are required. .;
TA4;TA4_Sustainable and smart mobility;GHG Reduction;TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030;This target is assigned to GHG Reduction as it mentions the reduction of fossil-fuel consumption.;"The Communication notes that ""Fisheries and aquaculture operators began reducing their energy intensity between 2009 and 2014, but the progress they made has stagnated in recent years. Therefore, there is a need to accelerate the energy transition"". In turn, this statement grounds on the JRC science for policy report ""The 2022 Annual Economic Report on the EU Fishing Fleet” [161] by the Scientific, Technical and Economic Committee for Fisheries, assessing that the sector fuel intensity (i.e. fuel consumption per tonne landed) dropped by more than 15% between 2009 and 2014, but that this trend has stagnated since then.";
TA4;TA4_Sustainable and smart mobility;Transport Logistics;TA4.11;Reduce the average door-to-door cost of combined transport operations by at least 10% within 7 years;This target is assigned to Transport Logistics as it specifically mentions the reduction of transport costs.;"EU shipping emissions increased by 5.6% in 2021 from the previous year, rebounding from the COVID-19 induced slump of 2020. The target for 2025 seems unlikely to be reached.
The EEA projections suggest that, even with measures currently planned in the Member States, emissions from domestic navigation are projected to remain relatively stable in the coming years. International maritime transport emissions are projected to continue increasing.";
TA4;TA4_Sustainable and smart mobility;GHG Reduction;TA4.12;GHG intensity reduction target in the maritme sector (link Agreement Council - Parliament on 23.03.2023): -2% from 1 January 2025, -6% from 1 January 2030, -14.5% from 1 January 2035, -31% from 1 January 2040, -62% from 1 January 2045, -80% from 1 January 2050;This target is assigned to GHG Reduction as it specifically mentions the reduction of GHG intensity in the maritime sector.;;
TA4;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;TA4.13;For new urban buses the share of zeroemissions vehicles shall be 100% as from the reporting period of the year 2030;This target is assigned to Net-Zero Technology - Road Vehicles as it specifically mentions the share of zero-emission vehicles.;Several plants are being built to produce sustainable aviation fuels and sustainable aviation fuels are tested by companies. The contribution of aviation fuels is practically negligible currently. No sustainable biofuel use was reported in Eurostat in aviation in 2021.;
TA4;TA4_Sustainable and smart mobility;Renewable Energy;TA4.14;Renewable and low-carbon fuels should represent between 6% and 9% of the international maritime transport fuel mix by 2030 and between 86% and 88% by 2050;This target is assigned to Renewable Energy as it mentions the share of renewable and low-carbon fuels in the maritime transport sector.;;
