target_code;thematic_area;sub_theme;;;;;;;;target_content;justification;
TA4.7;TA4_Sustainable and smart mobility;Promoting Alternative Fuels;;;;;;;;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030.;"This target is assigned to the sub-theme ""Promoting Alternative Fuels"" because it aims to increase the share of advanced biofuels and renewable fuels of non-biological origin in the transport sector.";The target is part of the effort to promote alternative fuels and reduce dependence on fossil fuels, by setting obligations on fuel suppliers to increase the share of alternative fuels.
TA4.18;TA4_Sustainable and smart mobility;Promoting Sustainable Biofuels;;;;;;;;The share of biofuels and biogas produced from the feedstock listed in Part B of Annex IX in the energy content of fuels and electricity supplied to the transport sector shall, except in Cyprus and Malta, be limited to 1.7%.;"This target is assigned to the sub-theme ""Promoting Sustainable Biofuels"" because it aims to limit the share of biofuels produced from certain feedstocks.";The target is part of the effort to promote sustainable biofuels and reduce the environmental impact of biofuel production, by limiting the use of biofuels produced from feedstocks with high environmental impact.
TA4.32;TA4_Sustainable and smart mobility;Improving Energy Efficiency;;;;;;;;States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029, at all aircraft remote stands used for commercial air transport operations to embark or disembark passengers or to load or unload goods;"This target is assigned to the sub-theme ""Improving Energy Efficiency"" because it aims to increase the use of electricity to power stationary aircraft.";The target is part of the effort to improve energy efficiency and reduce greenhouse gas emissions from the transport sector, by promoting the use of electricity instead of fossil fuels to power aircraft.
TA4.1;TA4_Sustainable and smart mobility;Sustainable Transport;;;;;;;;Reduce transport emissions by at least 90% by 2050;"This target is assigned to the sub-theme ""Sustainable Transport"" because it aims to drastically reduce emissions from the transport sector.";
TA4.2;TA4_Sustainable and smart mobility;Alternative Fuels;;;;;;;;Increase the share of alternative fuels in transport to at least 24% by 2030;"This target is assigned to the sub-theme ""Alternative Fuels"" because it promotes the use of alternative fuels in the transport sector.";
TA4.3;TA4_Sustainable and smart mobility;Zero-Emission Vehicles;;;;;;;;Deploy at least 30 million zero-emission vehicles by 2030;"This target is assigned to the sub-theme ""Zero-Emission Vehicles"" because it specifically targets the deployment of zero-emission vehicles.";
TA4.4;TA4_Sustainable and smart mobility;Sustainable Transport Modes;;;;;;;;Improve public transport and promote walking and cycling;"This target is assigned to the sub-theme ""Sustainable Transport Modes"" because it promotes sustainable modes of transport like public transport, walking, and cycling.";
TA5.4;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Pesticide Reduction;;;;;;;;Reduce by 50% the use of more hazardous pesticides;This target is assigned to Pesticide Reduction as it promotes the reduction of hazardous pesticides.;
TA5.9;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Organic Farming;;;;;;;;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030;This target is assigned to Organic Farming as it promotes the increase of organic farming.;
TA5.12;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Biodiversity Conservation;;;;;;;;Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.;This target is assigned to Biodiversity Conservation as it promotes the conservation of genetic biodiversity.;
TA5.15;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Consumption;;;;;;;;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;This target is assigned to Sustainable Consumption as it promotes the reduction of environmental and climate footprint.;
TA5.19;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food Affordability;;;;;;;;Price: Preserve the price affordability of food.;This target is assigned to Food Affordability as it promotes the preservation of price affordability.;
TA5.20;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Trade Competitiveness;;;;;;;;Trade: Foster the competitiveness of the EU supply sector.;This target is assigned to Trade Competitiveness as it promotes the competitiveness of the EU supply sector.;
TA5.21;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Digitalization;;;;;;;;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025;This target is assigned to Digitalization as it promotes the access to fast broadband.;
TA5.22;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Transport;;;;;;;;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;This target is assigned to Sustainable Transport as it promotes the creation of shorter supply chains.;
TA5.25;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Animal Welfare;;;;;;;;Animal welfare: Promote better animal welfare to improve animal health and food quality.;This target is assigned to Animal Welfare as it promotes the improvement of animal welfare.;
TA5.1;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Agriculture;;;;;;;;Reduce the use of chemical pesticides by 50% by 2030;This target is assigned to Sustainable Agriculture as it aims to reduce the use of chemical pesticides.;
TA5.2;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Organic Farming;;;;;;;;Increase the share of organic farming to at least 25% by 2030;This target is assigned to Organic Farming as it aims to increase the share of organic farming.;
TA5.3;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food Waste Reduction;;;;;;;;Reduce the generation of food waste by 30% by 2025;This target is assigned to Food Waste Reduction as it aims to reduce food waste generation.;
TA5.4;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Packaging;;;;;;;;Increase the use of recycled materials in packaging to 30% by 2030;This target is assigned to Sustainable Packaging as it aims to increase the use of recycled materials in packaging.;
TA5.3;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Soil Health;;;;;;;;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;"This target is assigned to the sub-theme ""Improving Soil Health"" because it aims to reduce nutrient losses and maintain soil fertility.";The target is part of the effort to improve soil health and reduce the environmental impact of agriculture, by promoting sustainable farming practices and reducing nutrient losses.
TA5.17;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Promoting Sustainable Agriculture;;;;;;;;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production.;"This target is assigned to the sub-theme ""Promoting Sustainable Agriculture"" because it aims to support farmers and fishers in sustainable production.";The target is part of the effort to promote sustainable agriculture and improve the economic viability of farmers and fishers, by helping them to strengthen their position in the supply chain and capture a fair share of the added value of sustainable production.
TA5.23;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Working Conditions;;;;;;;;Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.;"This target is assigned to the sub-theme ""Improving Working Conditions"" because it aims to create new job opportunities and improve working conditions in the agricultural sector.";The target is part of the effort to improve the social sustainability of agriculture, by promoting decent working conditions and ensuring occupational health and safety.
TA5.32;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Ensuring Food Security;;;;;;;;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;"This target is assigned to the sub-theme ""Ensuring Food Security"" because it aims to ensure access to quality, safe, sustainable, and nutritious food for all.";The target is part of the effort to ensure food security and promote sustainable food systems, by ensuring that everyone has access to healthy and nutritious food.
TA5.33;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Promoting Healthy Diets;;;;;;;;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;"This target is assigned to the sub-theme ""Promoting Healthy Diets"" because it aims to promote healthier and more sustainable diets.";The target is part of the effort to promote healthy and sustainable diets, by encouraging the consumption of nutritious and sustainable food.
TA5.35;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improving Resilience;;;;;;;;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;"This target is assigned to the sub-theme ""Improving Resilience"" because it aims to strengthen the resilience of the EU food system.";The target is part of the effort to improve the resilience of the food system, by promoting sustainable agriculture and reducing the risk of climate-related shocks and diseases.
TA5.1;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Agricultural Emissions Reduction;;;;;;;;Reduce greenhouse gas emissions from agriculture by at least 55% by 2030;"This target is assigned to the sub-theme ""Agricultural Emissions Reduction"" because it aims to reduce emissions from agricultural activities.";
TA5.2;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Organic Farming;;;;;;;;Increase organic farming to at least 25% of total farmland by 2030;"This target is assigned to the sub-theme ""Organic Farming"" because it promotes the expansion of organic farming practices.";
TA5.3;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Pest Management;;;;;;;;Reduce the use of chemical pesticides by 50% by 2030;"This target is assigned to the sub-theme ""Sustainable Pest Management"" because it aims to reduce the use of chemical pesticides.";
TA5.4;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Food Systems;;;;;;;;Increase the share of plant-based diets and reduce food waste;"This target is assigned to the sub-theme ""Sustainable Food Systems"" because it promotes plant-based diets and reduction of food waste, contributing to more sustainable food systems.";
TA6.1;TA6_Preserving and protecting biodiversity;Habitat Protection;;;;;;;;1.a Legally protect a minimum of 30% of the EU’s land area;This target is assigned to Habitat Protection as it promotes the legal protection of land area.;
TA6.38;TA6_Preserving and protecting biodiversity;Urban Biodiversity;;;;;;;;Urban ecosystems. Member States shall achieve, in each urban ecosystem area, determined in accordance with Article 14(4), an increasing trend of urban tree canopy cover, measured every six years after 31 December 2030, until the satisfactory level identified in accordance with Article 14(5) is reached.;This target is assigned to Urban Biodiversity as it promotes the increase of urban tree canopy cover.;
TA6.43;TA6_Preserving and protecting biodiversity;Marine Conservation;;;;;;;;Marine ecosystems. Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II.;This target is assigned to Marine Conservation as it promotes the conservation of marine ecosystems.;
TA6.46;TA6_Preserving and protecting biodiversity;Soil Conservation;;;;;;;;Agricultural ecosystems. Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands.;This target is assigned to Soil Conservation as it promotes the restoration of organic soils.;
TA6.47;TA6_Preserving and protecting biodiversity;Reforestation;;;;;;;;Trees. When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030 at Union level.;This target is assigned to Reforestation as it promotes the planting of additional trees.;
TA6.49;TA6_Preserving and protecting biodiversity;Forest Conservation;;;;;;;;Forest ecosystems. Member States shall achieve an increasing trend at national level of the common forest bird index, as further set out in Annex VI, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels identified in accordance with Article 11(3) are reached;This target is assigned to Forest Conservation as it promotes the conservation of forest ecosystems.;
TA6.51;TA6_Preserving and protecting biodiversity;Water Quality;;;;;;;;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean, by meeting several requirements related to micro-organisms and parasites which constitute a potential danger to human health and quality standards recalled in the Directive.;This target is assigned to Water Quality as it promotes the improvement of water quality.;
TA6.1;TA6_Preserving and protecting biodiversity;Habitat Protection;;;;;;;;Protect at least 30% of the EU’s land area and 30% of the EU’s sea area by 2030;This target is assigned to Habitat Protection as it aims to protect a significant portion of the EU's land and sea area.;
TA6.2;TA6_Preserving and protecting biodiversity;River Restoration;;;;;;;;Restore at least 25,000 km of free-flowing rivers by 2030;This target is assigned to River Restoration as it aims to restore free-flowing rivers.;
TA6.3;TA6_Preserving and protecting biodiversity;Reforestation;;;;;;;;Plant at least 3 billion additional trees by 2030;This target is assigned to Reforestation as it aims to plant additional trees.;
TA6.4;TA6_Preserving and protecting biodiversity;Sustainable Agriculture;;;;;;;;Reduce the use of chemical pesticides by 50% by 2030;This target is assigned to Sustainable Agriculture as it aims to reduce the use of chemical pesticides.;
TA6.5;TA6_Preserving and protecting biodiversity;Organic Farming;;;;;;;;Increase the share of organic farming to at least 25% by 2030;This target is assigned to Organic Farming as it aims to increase the share of organic farming.;
TA6.2;TA6_Preserving and protecting biodiversity;Protecting Marine Ecosystems;;;;;;;;Legally protect a minimum of 30% of the EU's sea area;"This target is assigned to the sub-theme ""Protecting Marine Ecosystems"" because it aims to protect a minimum of 30% of the EU's sea area.";The target is part of the effort to protect marine ecosystems and promote biodiversity, by establishing marine protected areas and reducing human impact on the marine environment.
TA6.3;TA6_Preserving and protecting biodiversity;Protecting Terrestrial Ecosystems;;;;;;;;Strictly protect at least a third of the EU'S protected areas;"This target is assigned to the sub-theme ""Protecting Terrestrial Ecosystems"" because it aims to strictly protect at least a third of the EU's protected areas.";The target is part of the effort to protect terrestrial ecosystems and promote biodiversity, by establishing protected areas and reducing human impact on the environment.
TA6.8;TA6_Preserving and protecting biodiversity;Protecting Pollinators;;;;;;;;The decline of pollinators is reversed;"This target is assigned to the sub-theme ""Protecting Pollinators"" because it aims to reverse the decline of pollinators.";The target is part of the effort to protect pollinators and promote biodiversity, by reducing the impact of human activities on pollinator populations and promoting sustainable agriculture practices.
TA6.10;TA6_Preserving and protecting biodiversity;Promoting Biodiversity in Agriculture;;;;;;;;At least 10% of agricultural area is under high-diversity landscape features;"This target is assigned to the sub-theme ""Promoting Biodiversity in Agriculture"" because it aims to increase the area of high-diversity landscape features in agriculture.";The target is part of the effort to promote biodiversity in agriculture, by encouraging the use of sustainable agriculture practices and reducing the impact of agriculture on the environment.
TA6.11;TA6_Preserving and protecting biodiversity;Restoring Forests;;;;;;;;Three billion trees are planted in the EU, in full respect of ecological principles;"This target is assigned to the sub-theme ""Restoring Forests"" because it aims to plant three billion trees in the EU.";The target is part of the effort to restore forests and promote biodiversity, by planting trees and promoting sustainable forest management practices.
TA6.13;TA6_Preserving and protecting biodiversity;Restoring Rivers;;;;;;;;At least 25.000 km of free-flowing rivers are restored;"This target is assigned to the sub-theme ""Restoring Rivers"" because it aims to restore at least 25,000 km of free-flowing rivers.";The target is part of the effort to restore rivers and promote biodiversity, by removing barriers and promoting sustainable river management practices.
TA6.14;TA6_Preserving and protecting biodiversity;Preventing Invasive Species;;;;;;;;There is a 50% reduction in the number of Red List species threatened by Invasive Alien Species (IAS);"This target is assigned to the sub-theme ""Preventing Invasive Species"" because it aims to reduce the number of Red List species threatened by invasive alien species.";The target is part of the effort to prevent the introduction and spread of invasive alien species, by promoting sustainable practices and reducing the impact of human activities on the environment.
TA6.16;TA6_Preserving and protecting biodiversity;Promoting Urban Biodiversity;;;;;;;;Cities with at least 20.000 inhabitants have an ambitious Urban Greening Plan;"This target is assigned to the sub-theme ""Promoting Urban Biodiversity"" because it aims to promote urban greening plans in cities with at least 20,000 inhabitants.";The target is part of the effort to promote urban biodiversity, by encouraging the creation of green spaces and reducing the impact of urbanization on the environment.
TA6.29;TA6_Preserving and protecting biodiversity;Restoring Ecosystems;;;;;;;;Terrestrial ecosystems. Member States shall put in place [...] measures [...] to jointly cover, as a Union target, throughout the areas and ecosystems [...] defined in Art. 2, by 2030, at least 20% of land areas in need of restoration and, by 2050, all ecosystems in need of restoration.;"This target is assigned to the sub-theme ""Restoring Ecosystems"" because it aims to restore at least 20% of land areas in need of restoration by 2030 and all ecosystems in need of restoration by 2050.";The target is part of the effort to restore ecosystems and promote biodiversity, by promoting sustainable land use practices and reducing the impact of human activities on the environment.
TA6.36;TA6_Preserving and protecting biodiversity;Promoting Recycling;;;;;;;;Member States shall take the necessary measures to attain a recycling target of 70% of glass by weight of glass contained in packaging waste generated by 31 December 2025 and of 75% by 31 December 2030;"This target is assigned to the sub-theme ""Promoting Recycling"" because it aims to increase the recycling rate of glass packaging waste.";The target is part of the effort to promote recycling and reduce waste, by increasing the recycling rate of glass packaging waste and promoting sustainable practices.
TA6.39;TA6_Preserving and protecting biodiversity;Restoring Rivers;;;;;;;;Natural connectivity of rivers and natural functions of the related floodplains. Member States shall make an inventory of artificial barriers and remove them to connectivity of surface waters and, taking into account their socio-economic functions, identify the barriers that need to be removed to contribute to the achievement of the restoration targets set out in Article 4 of this Regulation and of the objective of restoring at least 25.000 km of rivers into free-flowing rivers in the Union.;"This target is assigned to the sub-theme ""Restoring Rivers"" because it aims to restore natural connectivity of rivers and remove artificial barriers.";The target is part of the effort to restore rivers and promote biodiversity, by removing barriers and promoting sustainable river management practices.
TA6.40;TA6_Preserving and protecting biodiversity;Protecting Pollinators;;;;;;;;Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations at the latest by 2030 and thereafter achieve an increasing trend of pollinator populations, measured at least every six years from 2030, until satisfactory levels are achieved, as set in accordance with Article 14(5).;"This target is assigned to the sub-theme ""Protecting Pollinators"" because it aims to improve pollinator diversity and reverse the decline of pollinator populations.";The target is part of the effort to protect pollinators and promote biodiversity, by reducing the impact of human activities on pollinator populations and promoting sustainable agriculture practices.
TA6.42;TA6_Preserving and protecting biodiversity;Restoring Ecosystems;;;;;;;;Ecosystems. Member States shall put in place the restoration measures that are necessary to re-establish the habitat types of groups 1-6 listed in Annex II in areas not covered by those habitat types with the aim to reach their favourable reference area.;"This target is assigned to the sub-theme ""Restoring Ecosystems"" because it aims to restore habitat types and promote biodiversity.";The target is part of the effort to restore ecosystems and promote biodiversity, by promoting sustainable land use practices and reducing the impact of human activities on the environment.
TA6.1;TA6_Preserving and protecting biodiversity;Biodiversity Conservation;;;;;;;;Protect and restore at least 30% of land and sea areas by 2030;"This target is assigned to the sub-theme ""Biodiversity Conservation"" because it aims to protect and restore significant portions of land and sea areas for biodiversity.";
TA6.2;TA6_Preserving and protecting biodiversity;River Restoration;;;;;;;;Restore at least 25,000 kilometers of free-flowing rivers by 2030;"This target is assigned to the sub-theme ""River Restoration"" because it specifically targets the restoration of free-flowing rivers.";
TA6.3;TA6_Preserving and protecting biodiversity;Reforestation;;;;;;;;Plant at least 3 billion trees by 2030;"This target is assigned to the sub-theme ""Reforestation"" because it promotes the planting of a significant number of trees.";
TA6.4;TA6_Preserving and protecting biodiversity;Sustainable Pest Management;;;;;;;;Reduce the risk and use of chemical pesticides by 50% by 2030;"This target is assigned to the sub-theme ""Sustainable Pest Management"" because it aims to reduce the risk and use of chemical pesticides, which is crucial for biodiversity conservation.";
TA7.8;TA7_Towards a zero-pollution ambition for a toxic free environment;Soil Conservation;;;;;;;;Improve soil quality by reducing nutrient losses use by 50%, by 2030;This target is assigned to Soil Conservation as it promotes the improvement of soil quality.;
TA7.11;TA7_Towards a zero-pollution ambition for a toxic free environment;Water Quality;;;;;;;;Improve water quality by reducing microplastics released into the environment (by 30%);This target is assigned to Water Quality as it promotes the improvement of water quality.;
TA7.1;TA7_Towards a zero-pollution ambition for a toxic free environment;Air Pollution Reduction;;;;;;;;Reduce the number of premature deaths caused by air pollution by 55% by 2030;This target is assigned to Air Pollution Reduction as it aims to reduce premature deaths caused by air pollution.;
TA7.2;TA7_Towards a zero-pollution ambition for a toxic free environment;Microplastics Reduction;;;;;;;;Reduce the concentration of microplastics in the environment by 30% by 2030;This target is assigned to Microplastics Reduction as it aims to reduce the concentration of microplastics in the environment.;
TA7.3;TA7_Towards a zero-pollution ambition for a toxic free environment;Noise Pollution Reduction;;;;;;;;Reduce the share of people chronically disturbed by transport noise by 30% by 2030;This target is assigned to Noise Pollution Reduction as it aims to reduce the share of people chronically disturbed by transport noise.;
TA7.4;TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Reduction;;;;;;;;Reduce the generation of waste by 50% by 2030;This target is assigned to Waste Reduction as it aims to reduce waste generation.;
TA7.5;TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Recycling;;;;;;;;Increase the recycling rate of municipal waste to 65% by 2030;This target is assigned to Waste Recycling as it aims to increase the recycling rate of municipal waste.;
TA7.6;TA7_Towards a zero-pollution ambition for a toxic free environment;Reducing Chemical Pollution;;;;;;;;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;"This target is assigned to the sub-theme ""Reducing Chemical Pollution"" because it aims to reduce the use of chemical pesticides and improve soil quality.";The target is part of the effort to reduce chemical pollution and promote sustainable agriculture practices, by reducing the use of chemical pesticides and promoting alternative methods of pest control.
TA7.13;TA7_Towards a zero-pollution ambition for a toxic free environment;Reducing Air Pollution;;;;;;;;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030 (compared to 2005);"This target is assigned to the sub-theme ""Reducing Air Pollution"" because it aims to reduce the number of EU ecosystems where air pollution threatens biodiversity.";The target is part of the effort to reduce air pollution and promote biodiversity, by reducing emissions and promoting sustainable practices.
TA7.13;TA7_Towards a zero-pollution ambition for a toxic free environment;Protecting Ecosystems;;;;;;;;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030 (compared to 2005);"This target is also assigned to the sub-theme ""Protecting Ecosystems"" because it aims to protect EU ecosystems from air pollution.";The target is part of the effort to protect ecosystems and promote biodiversity, by reducing the impact of air pollution on ecosystems and promoting sustainable practices.
TA7.1;TA7_Towards a zero-pollution ambition for a toxic free environment;Air Quality Improvement;;;;;;;;Reduce air pollution to levels that do not harm human health and the environment by 2030;"This target is assigned to the sub-theme ""Air Quality Improvement"" because it aims to reduce air pollution to safe levels for human health and the environment.";
TA7.2;TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Reduction;;;;;;;;Reduce waste generation by at least 50% by 2030;"This target is assigned to the sub-theme ""Waste Reduction"" because it focuses on significantly reducing waste generation.";
TA7.3;TA7_Towards a zero-pollution ambition for a toxic free environment;Single-Use Plastics Reduction;;;;;;;;Reduce the use of single-use plastics by 50% by 2030;"This target is assigned to the sub-theme ""Single-Use Plastics Reduction"" because it specifically targets the reduction of single-use plastics.";
TA7.4;TA7_Towards a zero-pollution ambition for a toxic free environment;Water Quality Improvement;;;;;;;;Improve water quality by reducing pollution from agricultural and industrial activities;"This target is assigned to the sub-theme ""Water Quality Improvement"" because it aims to reduce pollution in water bodies from various activities.";
TA7.5;TA7_Towards a zero-pollution ambition for a toxic free environment;Soil Pollution Reduction;;;;;;;;Reduce soil pollution by at least 50% by 2030;"This target is assigned to the sub-theme ""Soil Pollution Reduction"" because it focuses on reducing soil pollution.";
TA7.6;TA7_Towards a zero-pollution ambition for a toxic free environment;Noise Pollution Reduction;;;;;;;;Reduce noise pollution to levels that do not harm human health by 2030;"This target is assigned to the sub-theme ""Noise Pollution Reduction"" because it aims to reduce noise pollution to safe levels for human health.";
