target_code;target_content;thematic_area;sub_theme;sub_theme_justification
TA5.30;Ensure affordability and access to sufficient, nutritious and sustainable food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality;"This target is also assigned to the sub-theme ""Food quality"" because it mentions ""nutritious and sustainable food"", which is related to the quality of food."
TA5.31;Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;"This target is assigned to the sub-theme ""Food quality - Healthy Food"" because it focuses on reformulating food products to make them healthier and more sustainable."
TA5.32;Ensuring all access to quality, safe, sustainable, nutritious food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality;"This target is assigned to the sub-theme ""Food quality"" because it mentions ""quality, safe, sustainable, nutritious food"", which is related to the quality of food."
TA5.32;Ensuring all access to quality, safe, sustainable, nutritious food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food affordability;"This target is also assigned to the sub-theme ""Food affordability"" because it focuses on ensuring access to food, which is a key aspect of food affordability."
TA5.33;Move to healthier and more sustainable diets;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;"This target is assigned to the sub-theme ""Food quality - Healthy Food"" because it focuses on promoting healthier and more sustainable diets."
TA5.34;Reverse prevalence of overweight and diet-related diseases;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;"This target is assigned to the sub-theme ""Food quality - Healthy Food"" because it focuses on reducing the prevalence of diet-related diseases, which is related to the quality of food."
TA5.35;Strengthen the resilience of the EU food system. Build up resilience to possible future diseases and pandemics.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food affordability;"This target is assigned to the sub-theme ""Food affordability"" because it focuses on strengthening the resilience of the food system, which is related to ensuring access to food."
TA5.4;Reduce by 50% the use of more hazardous pesticides;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Pesticides Reduction;"This target is assigned to the sub-theme ""Pesticides Reduction"" because it focuses on reducing the use of hazardous pesticides."
TA5.5;Reduce by 50% the use and risk of chemical pesticides;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Pesticides Reduction;"This target is assigned to the sub-theme ""Pesticides Reduction"" because it focuses on reducing the use and risk of chemical pesticides."
TA5.6;Increase sustainable fishing and aquaculture.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Biodiversity Protection & Conservation - Fisheries;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation - Fisheries"" because it focuses on promoting sustainable fishing and aquaculture."
TA5.7;Tackle climate change: climate change adaptation and mitigation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;GHG Reduction;"This target is assigned to the sub-theme ""GHG Reduction"" because it focuses on mitigating climate change."
TA5.8;Sustainable use of water.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on promoting sustainable water use."
TA5.9;Increase organic farming;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Agricultural Ecosystems"" because it focuses on promoting organic farming."
TA6.1;Legally protect a minimum of 30% of the EU's land area;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it focuses on protecting a minimum of 30% of the EU's land area."
TA6.10;At least 10% of agricultural area is under high-diversity landscape features;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Agricultural Ecosystems"" because it focuses on promoting high-diversity landscape features in agricultural areas."
TA6.11;Three billion trees are planted in the EU;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Forests"" because it focuses on planting trees."
TA6.12;Significant progress in the remediation of contaminated soil sites;TA6_Preserving and protecting biodiversity;Improve Soils Health;"This target is assigned to the sub-theme ""Improve Soils Health"" because it focuses on remediating contaminated soil sites."
TA6.13;At least 25.000 km of free-flowing rivers are restored;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Rivers;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Rivers"" because it focuses on restoring free-flowing rivers."
TA6.14;50% reduction in the number of Red List species threatened by invasive alien species;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it focuses on reducing the number of threatened species."
TA6.15;50% reduction in the losses of nutrients from fertilisers;TA6_Preserving and protecting biodiversity;Improve Soils Health;"This target is assigned to the sub-theme ""Improve Soils Health"" because it focuses on reducing nutrient losses from fertilisers."
TA6.16;Cities with at least 20.000 inhabitants have an ambitious Urban Greening Plan;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Urban Nature;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation - Urban Nature"" because it focuses on promoting urban greening plans."
TA6.17;Substantially reduce the negative impacts on sensitive species and habitats;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it focuses on reducing negative impacts on sensitive species and habitats."
TA6.18;Eliminate or reduce the by-catch of species;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Fisheries;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation - Fisheries"" because it focuses on reducing by-catch."
TA6.2;Legally protect a minimum of 30% of the EU's sea area;TA6_Preserving and protecting biodiversity;Marine Ecosystem Restoration;"This target is assigned to the sub-theme ""Marine Ecosystem Restoration"" because it focuses on protecting a minimum of 30% of the EU's sea area."
TA6.21;Combat desertification, restore degraded land and soil;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it focuses on restoring degraded land and soil."
TA6.26;Minimise or eliminate the use of pesticides in sensitive areas;TA6_Preserving and protecting biodiversity;Pesticides Reduction;"This target is assigned to the sub-theme ""Pesticides Reduction"" because it focuses on minimising or eliminating pesticide use in sensitive areas."
TA6.27;Optimise exploitation patterns to provide protection for juveniles and spawning aggregations;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Fisheries;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation - Fisheries"" because it focuses on protecting juveniles and spawning aggregations."
TA6.28;All harvested stocks should be fished at maximum sustainable yield;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Fisheries;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation - Fisheries"" because it focuses on promoting sustainable fishing practices."
TA6.3;Strictly protect at least a third of the EU'S protected areas;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it focuses on protecting a third of the EU's protected areas."
TA6.32;Member States shall put in place effective and area-based restoration measures;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it focuses on promoting restoration measures."
TA6.33;Member States shall put in place effective and area-based restoration measures;TA6_Preserving and protecting biodiversity;Marine Ecosystem Restoration;"This target is assigned to the sub-theme ""Marine Ecosystem Restoration"" because it focuses on promoting restoration measures in marine ecosystems."
TA6.34;Member States shall put in place the restoration measures that are necessary to improve to good condition areas of habitat types;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it focuses on improving the condition of habitat types."
TA6.35;Member States shall put in place the restoration measures that are necessary to re-establish the habitat types;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it focuses on re-establishing habitat types."
TA6.36;Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it focuses on restoring habitats."
TA6.37;Member States shall ensure that the condition is known for at least 90% of area distributed overall habitat types;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Monitoring;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation - Monitoring"" because it focuses on monitoring the condition of habitat types."
TA6.38;Member States shall ensure that there is an increase of habitat area in good condition;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it focuses on increasing the area of habitats in good condition."
TA6.39;Member States shall ensure that there is no net loss in the total national area of urban green space;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Urban Nature;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation - Urban Nature"" because it focuses on promoting urban green spaces."
TA6.4;Strictly protect all remaining EU primary and old-growth forests;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Forests"" because it focuses on protecting primary and old-growth forests."
TA6.40;Member States shall achieve thereafter an increasing trend in the total national area of urban green space;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Urban Nature;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation - Urban Nature"" because it focuses on promoting urban green spaces."
TA6.41;Member States shall achieve, in each urban ecosystem area, an increasing trend of urban tree canopy cover;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Urban Nature;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation - Urban Nature"" because it focuses on promoting urban tree canopy cover."
TA6.42;Member States shall make an inventory of artificial barriers to connectivity of surface waters;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Rivers;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Rivers"" because it focuses on restoring river connectivity."
TA6.43;Member States shall, by putting in place appropriate and effective measures, improve pollinator diversity;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it focuses on improving pollinator diversity."
TA6.44;Member States shall put in place the restoration measures that are necessary to improve to good condition areas of habitat types listed in Annex II;TA6_Preserving and protecting biodiversity;Marine Ecosystem Restoration;"This target is assigned to the sub-theme ""Marine Ecosystem Restoration"" because it focuses on restoring marine habitats."
TA6.45;Member States shall put in place the restoration measures that are necessary to re-establish the habitat types of groups 1-6 listed in Annex II;TA6_Preserving and protecting biodiversity;Marine Ecosystem Restoration;"This target is assigned to the sub-theme ""Marine Ecosystem Restoration"" because it focuses on re-establishing marine habitats."
TA6.46;Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Monitoring;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation - Monitoring"" because it focuses on monitoring the condition of marine habitats."
TA6.47;Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Agricultural Ecosystems"" because it focuses on promoting sustainable agricultural practices."
TA6.48;Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level reaches the following levels;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Agricultural Ecosystems"" because it focuses on restoring farmland bird populations."
TA6.49;Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands;TA6_Preserving and protecting biodiversity;Improve Soils Health;"This target is assigned to the sub-theme ""Improve Soils Health"" because it focuses on restoring organic soils."
TA6.5;Effectively manage all protected areas, defining clear conservation objectives and measures, and monitoring them appropriately;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it focuses on managing protected areas."
TA6.50;When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Forests"" because it focuses on planting trees."
TA6.51;Member States shall achieve an increasing trend at national level of at least six out of seven of the following indicators in forest ecosystems;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Forests"" because it focuses on promoting sustainable forest management."
TA6.52;Member States shall achieve an increasing trend at national level of the common forest bird index;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Forests"" because it focuses on restoring forest bird populations."
TA6.54;Promoting the sustainable forest bioeconomy for long-lived wood products;TA6_Preserving and protecting biodiversity;Forest Bioeconomy;"This target is assigned to the sub-theme ""Forest Bioeconomy"" because it focuses on promoting sustainable forest bioeconomy."
TA6.55;Ensuring sustainable use of wood-based resources for bioenergy;TA6_Preserving and protecting biodiversity;Forest Bioeconomy;"This target is assigned to the sub-theme ""Forest Bioeconomy"" because it focuses on promoting sustainable use of wood-based resources."
TA6.56;Promoting non-wood forest-based bioeconomy, including ecotourism;TA6_Preserving and protecting biodiversity;Forest Bioeconomy;"This target is assigned to the sub-theme ""Forest Bioeconomy"" because it focuses on promoting non-wood forest-based bioeconomy."
TA6.57;Developing skills and empowering people for sustainable forest-based bioeconomy;TA6_Preserving and protecting biodiversity;Forest Bioeconomy;"This target is assigned to the sub-theme ""Forest Bioeconomy"" because it focuses on promoting sustainable forest-based bioeconomy."
TA6.58;Protecting EU’s last remaining primary and old-growth forests;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Forests"" because it focuses on protecting primary and old-growth forests."
TA6.59;Ensuring forest restoration and reinforced sustainable forest management for climate adaptation and forest resilience;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Forests"" because it focuses on promoting forest restoration and sustainable management."
TA6.60;Providing financial incentives for forest owners and managers for improving the quantity and quality of EU forests;TA6_Preserving and protecting biodiversity;Forest Bioeconomy;"This target is assigned to the sub-theme ""Forest Bioeconomy"" because it focuses on promoting sustainable forest management."
TA6.62;Reach no net land take;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it focuses on promoting sustainable land use."
TA6.63;Restore degraded land and soil, including land affected by desertification, drought and floods;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it focuses on restoring degraded land and soil."
TA6.7;By 2030, significant areas of degraded and carbon-rich ecosystems are restored;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it focuses on restoring degraded ecosystems."
TA6.8;The decline of pollinators is reversed;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it focuses on reversing the decline of pollinators."
TA6.9;The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;TA6_Preserving and protecting biodiversity;Pesticides Reduction;"This target is assigned to the sub-theme ""Pesticides Reduction"" because it focuses on reducing the use of chemical pesticides."
TA7.1;The obligation to set up urban wastewater collecting systems is extended to all agglomerations with a p.e. of 1.000 or more;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on promoting urban wastewater collection."
TA7.10;Improve soil quality by reducing nutrient losses and chemical pesticides’ use by 50%;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Soils Health;"This target is assigned to the sub-theme ""Improve Soils Health"" because it focuses on improving soil quality."
TA7.11;Improve soil quality by reducing nutrient losses and chemical pesticides’ use by 50%;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on reducing nutrient losses and chemical pesticides."
TA7.12;Develop measures to significantly increase efforts to identify, investigate, assess and remediate contaminated sites;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Soils Health;"This target is assigned to the sub-theme ""Improve Soils Health"" because it focuses on remediating contaminated sites."
TA7.13;Improve air quality to reduce the number of premature deaths caused by air pollution by 55%;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Air Quality;"This target is assigned to the sub-theme ""Improve Air Quality"" because it focuses on improving air quality."
TA7.14;Improve water quality by reducing waste, plastic litter at sea and microplastics released into the environment;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on improving water quality."
TA7.15;Improve water quality by reducing waste, plastic litter at sea and microplastics released into the environment;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on improving water quality."
TA7.16;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Air Quality;"This target is assigned to the sub-theme ""Improve Air Quality"" because it focuses on reducing air pollution."
TA7.17;Reduce the share of people chronically disturbed by transport noise by 30%;TA7_Towards a zero-pollution ambition for a toxic free environment;Noise Reduction;"This target is assigned to the sub-theme ""Noise Reduction"" because it focuses on reducing transport noise."
TA7.18;Reduce significantly total waste generation and by 50% residual municipal waste;TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Reduction - Municipal Waste;"This target is assigned to the sub-theme ""Waste Reduction - Municipal Waste"" because it focuses on reducing waste generation."
TA7.19;Improve soil quality by reducing nutrient losses and chemical pesticides’ use by 50%;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Soils Health;"This target is assigned to the sub-theme ""Improve Soils Health"" because it focuses on improving soil quality."
TA7.2;Establish locally integrated urban wastewater management plans;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on promoting urban wastewater management."
TA7.20;Having all soils in healthy condition by 2050;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Soils Health;"This target is assigned to the sub-theme ""Improve Soils Health"" because it focuses on promoting healthy soils."
TA7.21;Minimise or eliminate the use of pesticides in sensitive areas;TA7_Towards a zero-pollution ambition for a toxic free environment;Pesticides Reduction;"This target is assigned to the sub-theme ""Pesticides Reduction"" because it focuses on reducing pesticide use in sensitive areas."
TA7.22;The revision of the Ambient Air Quality Directives would merge the Directives into one;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Air Quality;"This target is assigned to the sub-theme ""Improve Air Quality"" because it focuses on improving air quality."
TA7.23;Remove micropollutants from wastewater;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on removing micropollutants from wastewater."
TA7.24;Improve nutrient removal from wastewater;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on improving nutrient removal from wastewater."
TA7.3;Member States will be required to improve and maintain access to sanitation for all;TA7_Towards a zero-pollution ambition for a toxic free environment;Social Security - Sanitation;"This target is assigned to the sub-theme ""Social Security - Sanitation"" because it focuses on promoting access to sanitation."
TA7.4;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on ensuring clean drinking water."
TA7.5;The Ambient Air Quality Directives set EU air quality standards;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Air Quality;"This target is assigned to the sub-theme ""Improve Air Quality"" because it focuses on setting air quality standards."
TA7.7;Reach good chemical and quantitative status in groundwaters and surfacewaters;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on promoting good chemical and quantitative status in water."
TA3.4;By 2030 textile products placed on the EU market are long-lived and recyclable, to a great extent made of recycled fibres, free of hazardous substances and produced in respect of social rights and the environment;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;This target is also assigned to Waste Reduction - Municipal Waste as it aims to reduce waste by promoting recyclable and recycled products.
TA3.40;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Plastic & Packaging;This target is assigned to Circularity/Recycling - Plastic & Packaging as it specifically mentions the recycling of plastic beverage bottles.
TA3.40;Member States shall meet the target of 77% by weight for the separate collection for recycling of waste single-use plastic beverage bottles by 2025 and 90% by 2029;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Plastic & Packaging;This target is also assigned to Waste Reduction - Plastic & Packaging as it aims to reduce plastic waste by promoting recycling.
TA3.41;From 2019, the minimum collection rate to be achieved annually shall be 65 % of the average weight of EEE placed on the market in the three preceding years in the Member State concerned, or alternatively 85 % of WEEE generated on the territory of that Member State.;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;This target is assigned to Circularity/Recycling - Municipal Waste as it mentions the collection rate of waste electronic equipment.
TA3.41;From 2019, the minimum collection rate to be achieved annually shall be 65 % of the average weight of EEE placed on the market in the three preceding years in the Member State concerned, or alternatively 85 % of WEEE generated on the territory of that Member State.;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;This target is also assigned to Waste Reduction - Municipal Waste as it aims to reduce waste by promoting recycling.
TA3.42;From 15 August 2018, the recovery targets for the WEEE falling within the following categories of Annex III shall be: - 85% for Category 1 (temperature exchange equipment) or Category 4 (large equipment with any external dimension more than 50 cm) - 80% for Category 2 (e.g., screens and monitors) - 75% for Category 5 (small equipment with no external dimension more than 50 cm) or 6 (Small IT and telecommunication equipment with no external dimension more than 50 cm).;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;This target is assigned to Circularity/Recycling - Municipal Waste as it mentions the recovery targets for waste electronic equipment.
TA3.42;From 15 August 2018, the recovery targets for the WEEE falling within the following categories of Annex III shall be: - 85% for Category 1 (temperature exchange equipment) or Category 4 (large equipment with any external dimension more than 50 cm) - 80% for Category 2 (e.g., screens and monitors) - 75% for Category 5 (small equipment with no external dimension more than 50 cm) or 6 (Small IT and telecommunication equipment with no external dimension more than 50 cm).;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;This target is also assigned to Waste Reduction - Municipal Waste as it aims to reduce waste by promoting recycling.
TA3.43;From 15 August 2018, the preparation for re-use targets for the WEEE falling within the following categories of Annex III shall be: - 80% for Category 1 or Category 4  - 70% for Category 2  - 55% for Category 5 or Category 6;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;This target is assigned to Circularity/Recycling - Municipal Waste as it mentions the preparation for re-use targets for waste electronic equipment.
TA3.43;From 15 August 2018, the preparation for re-use targets for the WEEE falling within the following categories of Annex III shall be: - 80% for Category 1 or Category 4  - 70% for Category 2  - 55% for Category 5 or Category 6;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;This target is also assigned to Waste Reduction - Municipal Waste as it aims to reduce waste by promoting recycling.
TA3.44;From 15 August 2018, the recycling targets for the WEEE falling within the following categories of Annex III shall be: - 0% for Category 1 or Category 4  - 70% for Category 2  - 55% for Category 5 or Category 6;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;This target is assigned to Circularity/Recycling - Municipal Waste as it mentions the recycling targets for waste electronic equipment.
TA3.44;From 15 August 2018, the recycling targets for the WEEE falling within the following categories of Annex III shall be: - 0% for Category 1 or Category 4  - 70% for Category 2  - 55% for Category 5 or Category 6;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;This target is also assigned to Waste Reduction - Municipal Waste as it aims to reduce waste by promoting recycling.
TA3.45;By 2025, the preparing for re-use and recycling of municipal waste shall be increased to a minimum of 55% by weight (60% by 2030, 65% by 2035);TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;This target is assigned to Circularity/Recycling - Municipal Waste as it mentions the preparation for re-use and recycling of municipal waste.
TA3.45;By 2025, the preparing for re-use and recycling of municipal waste shall be increased to a minimum of 55% by weight (60% by 2030, 65% by 2035);TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;This target is also assigned to Waste Reduction - Municipal Waste as it aims to reduce waste by promoting recycling.
TA3.46;Member States should aim to achieve an indicative Union-wide food waste reduction target of 30 % by 2025 and 50 % by 2030;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Food Waste;This target is assigned to Waste Reduction - Food Waste as it specifically mentions the reduction of food waste.
TA3.47;Hazardous household waste will have to be collected separately by 2022, bio-waste by 2023 and textiles by 2025;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;This target is assigned to Waste Reduction - Municipal Waste as it mentions the separate collection of hazardous household waste, bio-waste, and textiles.
TA3.47;Hazardous household waste will have to be collected separately by 2022, bio-waste by 2023 and textiles by 2025;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Textile Waste;This target is also assigned to Circularity/Recycling - Textile Waste as it specifically mentions the collection of textiles.
TA3.5;By 2030 producers will have responsibility for their products along the value chain, including when they become waste. The circular textiles ecosystem is thriving, driven by sufficient capacities for innovative fibre-to-fibre recycling, while the incineration and landfilling of textiles is reduced to the minimum.;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Textile Waste;This target is assigned to Circularity/Recycling - Textile Waste as it specifically mentions the circular textiles ecosystem and fibre-to-fibre recycling.
TA3.5;By 2030 producers will have responsibility for their products along the value chain, including when they become waste. The circular textiles ecosystem is thriving, driven by sufficient capacities for innovative fibre-to-fibre recycling, while the incineration and landfilling of textiles is reduced to the minimum.;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;This target is also assigned to Waste Reduction - Municipal Waste as it aims to reduce waste by promoting recycling.
TA3.8;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's extraction capacity is able to extract the ores, minerals or concentrates needed to produce at least 10% of the Union's annual consumption of strategic raw materials, to the extent that the Union’s reserves allow for this;TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction & Import;This target is assigned to Critical Raw Materials - Extraction & Import as it specifically mentions the extraction capacity of critical raw materials.
TA3.9;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's processing capacity, including for all intermediate processing steps, is able to produce at least 40% of the Union's annual consumption of strategic raw materials;TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction & Import;This target is assigned to Critical Raw Materials - Extraction & Import as it specifically mentions the processing capacity of critical raw materials.
TA4.1;*The amendments in Dir. 2023/2413 are also intended to support the achievement of the Union’s target of an annual production of sustainable biomethane of 35 billion cubic meters by 2030, set out in the SWD(2022) 230 of 18 May 2022 accompanying the REPowerEU Plan;TA4_Sustainable and smart mobility;Renewable Energy - Hydrogen;This target is assigned to Renewable Energy - Hydrogen as it specifically mentions the production of sustainable biomethane.
