```csv;;;;
target_code;target_content;thematic_area;sub_theme;justification
TA2.14;Each Member State shall increase the share of renewable energy in the heating and cooling sector by at least 0.8 percentage points as an annual average calculated for the period 2021 to 2025 and by at least 1.1 percentage points as an annual average calculated for the period 2026 to 2030, starting from the share of renewable energy in the sector in 2020. RED III (Directive (EU) 2023/2413);TA2_Clean, affordable and secure energy;Renewable Heating and Cooling;The target sets goals for increasing renewable energy in heating and cooling, contributing to clean energy transition.
TA6.41;Marine ecosystems. Member States shall put in place the restoration measures [...] to improve [...] areas of habitat types listed in Annex II which are not in good condition. Such measures shall be in place: (a) on at least 30% by 2030 of the total area of groups 1–6 of habitat types listed in Annex II [...], (b) on at least 60% by 2040 and on at least 90% by 2050 of the area of each of the groups 1–6 of habitat types listed in An- nex II [...], (c) on at least two thirds of the percentage, referred to in point (d), by 2040 of the area of group 7 of habitat types listed in Annex II [...] 'Nature Restoration Law';TA6_Preserving and protecting biodiversity;Marine Habitat Restoration;The target focuses on restoring marine habitats, which is crucial for biodiversity conservation and ecosystem health.
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2045. Directive concerning urban wastewater;TA1_Climate ambition;Wastewater Energy Neutrality;The target aims to achieve energy neutrality in wastewater treatment, contributing to emissions reductions and sustainability.
TA3.38;Each vehicle belonging to a vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of this Regulation] under Regulation (EU) 2018/858 shall be constructed so that it is: (a) reusable/recyclable to a minimum of 85% by mass, (b) reusable/recoverable to a minimum of 95 % by mass. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA3_Industrial strategy for a clean and circular economy;Vehicle Recyclability;The target sets recyclability and recoverability requirements for vehicles, promoting circular economy practices.
TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles [...], off-road vehicles and off-road special purpose vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019: (a) 15% for vehicle sub-groups 4-UD, 4-RD, 4-LH, 5-RD, 5-LH, 9-RD, 9-LH, 10-RD and 10-LH for the reporting periods of the years 2025 to 2029, (b) 45% for all vehicle sub-groups other than vocational vehicles for the reporting periods of the years 2030 to 2034, (c) 65% for all vehicle sub-groups for the reporting periods of the years 2035 to 2039, (d) 90% for all vehicle sub-groups for the reporting periods of the year 2040 onwards Regulation (EU) 2024/1610;TA4_Sustainable and smart mobility;Heavy-Duty Vehicle Emission Reduction;The target sets emission reduction goals for heavy-duty vehicles, supporting cleaner transport.
TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests Biodiversity Strategy Target in common with the New EU Forest Strategy;TA6_Preserving and protecting biodiversity;Forest Protection;The target focuses on protecting primary and old-growth forests, which is crucial for biodiversity conservation.
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030, and Member State-specific targets for 2030 summing up to -42 MtCO2e increase in LULUCF sink between 2016-2018 and 2030.;TA1_Climate ambition;Greenhouse Gas Removal;The target sets goals for greenhouse gas removal in the LULUCF sector, contributing to climate mitigation efforts.
TA4.27;Member States shall ensure that, by 31 December 2030 (with intermediate 2025 and 2027 targets), along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 60 km between them [...]. Along the TEN-T comprehensive road network, recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 100 km between them and each recharging pool offers a power output of at least 1.500 kW and includes at least one recharging point with an individual power output of at least 350 kW. Regulation (EU) 2023/1804;TA4_Sustainable and smart mobility;Heavy-Duty Vehicle Charging Network;The target focuses on establishing a charging network for heavy-duty electric vehicles, supporting cleaner transport.
TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA1_Climate ambition;GHG Emission Reduction;The target sets a significant goal for reducing net greenhouse gas emissions, aligning with climate objectives.
TA7.15;Having all soils in healthy condition by 2050;TA7_Towards a zero-pollution ambition for a toxic free environment;Soil Health;The target aims to ensure healthy soil conditions, which is crucial for environmental health and sustainability.
```;;;;
