thematic_area;expert;job_description;;
Thematic area 5. GREENING THE COMMON AGRICULTURAL POLICY / ‘FARM TO FORK’ ; Marelli Luisa;To assist Unit Head in the management activities of the Unit to include Scientific, administrative and financial tasks. The role will also include liaison with DG Services, stakeholder and scientific partners.;;
Thematic area 5. GREENING THE COMMON AGRICULTURAL POLICY / ‘FARM TO FORK’ ; Olvedy Michael;To fulfill tasks related a sustainable development of a more efficient chemicals safety assessment and risk management applying new approach methods, and also linking chemical exposure to the impact on public and ecosystem health;;
Thematic area 5. GREENING THE COMMON AGRICULTURAL POLICY / ‘FARM TO FORK’ ; Sanye Mengual Esther;To contribute to the activities of the land resources unit in relation to the environmental dimension of competitiveness, addressing sustainable production and consumption, circularity thereof and dependency of economy upon nature.;;
Thematic area 5. GREENING THE COMMON AGRICULTURAL POLICY / ‘FARM TO FORK’ ; M'Barek Robert;To carry out and co-ordinate scientific and technical tasks in accordance with the research programme.;;
Thematic area 5. GREENING THE COMMON AGRICULTURAL POLICY / ‘FARM TO FORK’ ; Puerta-Piñero Carolina;This post provides technical and methodological support to the direct payment administration and control processes. The GTCAP Group of the Food Security Unit has been developing and publishing technical guidelines for the MS and DGAgri colleagues. The post will contribute to this work of the group by performing data and statistical analysis such as:Contribute to the transition between the current On-the-spot control system, the developing Control by Monitoring (CbM) and the future Area Monitoring System (AMS); Provide his expertise in both statistics and mathematics for other issues encountered by the group;"Disseminate the results through technical guidelines and/or scientific publications"""
Thematic area 5. GREENING THE COMMON AGRICULTURAL POLICY / ‘FARM TO FORK’ ; Toth Katalin;Provide support to the MARS-CAPland group in the management and control of farming activities and landscape within the CAP in particular in relation to the Land Parcel Identification System (LPIS).Member of the JRC Scientific Committee.;;
Thematic area 5. GREENING THE COMMON AGRICULTURAL POLICY / ‘FARM TO FORK’ ; Trane Matteo;;;
Thematic area 5. GREENING THE COMMON AGRICULTURAL POLICY / ‘FARM TO FORK’ ; Wollgast Jan;To lead the competence group on Health Promotion within the JRC's Directorate F – Health, Consumers and Reference Materials;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Addamo Anna Maria;;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Barbero Vignola Giulia;To carry out research activity related to the design, development and implementation of knowledge management tools, to organise information on policies, indicators, methods and data to support the monitoring and implementation of the SDGs. To contribute to research activities of Portfolio 1 in the context of the assessment of the sustainability, fairness and competitiveness of the green transition.To identify indicators, information, data and develop analytical tools within the context of a science-policy interface for the European Green Deal and the SDGs. To contribute to carry out a research activity which will allow the design of new narratives for sustainable development and green transition pathways which will ensure that environment, the society and sustainable development are integrated in all levels and in all countries.;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Barredo José I.;To develop and carry out scientific and technical research in the field of forest related applications.;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Bopp Stephanie;To carry out and co-ordinate scientific/technical tasks in accordance with the research programme and projects in the Unit so that the Unit achieves its objectives and contributes to the overall Directorate and JRC objectives.;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Borchardt Steve;Development of tools, databases and web-based platforms in support of SDGs.;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Cardoso Ana Cristina;Co-ordinate and carry out scientific and technical activities within the institutional work package on alien species and marine environmental assessment;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Dubois Gregoire;To provide scientific and technical leadership in the work on Biodiversity Conservation and Restoration, in particular on the implementation of the Kunming-Montreal Global Biodiversity Framework (GBF). To lead research in the domain of Biodiversity Conservation and Restoration practices and metrics, facilitating the implementation of the Biodiversity Strategy, developing indicators for its monitoring and increased capacity for timely reporting at European and Global level. To support the Unit Head in the design, implementation and monitoring of projects and of their budget and human resources.;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Gastaldi Chiara;Contribute to carry out a gap analysis of the EU Green Deal, tracking how EU policies are delivering on the headline Green Deal ambitions and with respect to the SDGs and the limits of planetary boundaries. The job-holder is expected to contribute to the future-oriented perspective of the study, looking at solutions for green transitions, barriers to implementation, and their trade-offs.;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; La Notte Alessandra;Science and Technology for Natural Capital Accounting projects: technical support with spatial data;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Marando Federica;;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Marelli Luisa;To assist Unit Head in the management activities of the Unit to include Scientific, administrative and financial tasks. The role will also include liaison with DG Services, stakeholder and scientific partners.;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Maroni Michele;Development of tools, databases and web-based platforms in support of SDGs.;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Neuville Aude;To deepen the integration of JRC scientific advice into policy making in the EU.;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Robuchon Marine;To carry out scientific and technical support underpinning the work of the Knowledge Management for Sustainable Resources and Food security on natural resources management with a focus on biodiversity and ecosystem services globally and in developing countries;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Paracchini Maria Luisa;To coordinate scientific activities centered on ecosystem and ecosystem services assessment.;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Jones Arwyn;To assist Unit Head in the management activities of the Unit to include Scientific, administrative and financial tasks. The role will also include liaison with DG Services, stakeholder and scientific partners.;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Panagos Panos;To manage the EU Soil Observatory Project, support policy makers and coordinate/carry out scientific developments related to the soil health assessments in the domain of soil protection for the EU Soil Observatory.;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Tamborra Marialuisa;Team leadership and projects management in the field of ecosystems services monitoring and analyses. Research and development in the field of ecosystems assessment, mapping and impact analysis. Analysis of economic and environmental issues in support of Biodiversity Strategy and its Action Plan. Development of scenarios to assess the physical and socio-economic impacts of policies and forward looking studies. Assessment of nature-based solutions and natural capital accounting methodology.;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Trane Matteo;;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Vallecillo Sara;Science and Technology for Pollinating Insects: technical support;;
Thematic area 6. PRESERVING AND PROTECTING BIODIVERSITY ; Van Der Velde Marijn.;Lead the project team and contribute to the strategic development as well as the implementation of the institutional and research activities related to the work programme of the Unit and Directorate in the fields of agricultural production, agro environmental issues and climate change.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Aschberger Karin;To assist the Head of Unit in the management of the JRC Ocean and Water Unit across the scope of scientific, administrative and financial tasks. To support the production of best available scientific advice to the EU water resilience initiative. The assignment encompasses the liaison with partner Directorate Generals of the European Commission, stakeholders and scientific institutions.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Astorga-Llorens Covadonga;To carry out and co-ordinate scientific and technical tasks within the chemical laboratory at the Sustainable Transport Unit.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Barbero Vignola Giulia;To carry out research activity related to the design, development and implementation of knowledge management tools, to organise information on policies, indicators, methods and data to support the monitoring and implementation of the SDGs. To contribute to research activities of Portfolio 1 in the context of the assessment of the sustainability, fairness and competitiveness of the green transition.To identify indicators, information, data and develop analytical tools within the context of a science-policy interface for the European Green Deal and the SDGs. To contribute to carry out a research activity which will allow the design of new narratives for sustainable development and green transition pathways which will ensure that environment, the society and sustainable development are integrated in all levels and in all countries.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Belz Susanne;To lead/coordinate the project TEMPO (Technologies and methods for tackling micro- and nanoplastics pollution)To carry out and co-ordinate scientific/technical tasks in accordance with the research programme and projects in the Unit so that the Unit achieves its objectives and contributes to the overall Directorate and JRC objectives.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Borchardt Steve;Development of tools, databases and web-based platforms in support of SDGs.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Gastaldi Chiara;Contribute to carry out a gap analysis of the EU Green Deal, tracking how EU policies are delivering on the headline Green Deal ambitions and with respect to the SDGs and the limits of planetary boundaries. The job-holder is expected to contribute to the future-oriented perspective of the study, looking at solutions for green transitions, barriers to implementation, and their trade-offs.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Gawlik Bernd;Co-ordinate and manage scientific and technical activities across water-related domains;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Held Andrea;To complement the Head of Unit by taking responsibility for a large part of the coordination, support and people management tasks of the unit.To assist the Head of Unit in financial and administrative issues in particular acting as Authorising Officer by Subdelegation for the Unit when the Unit Head is absent.To assist the Head of Unit in matters related to compliance with legal nuclear safety and security requirements in line with requirements put forward by the Belgian Federal Agency for Nuclear Control.To ensure together with the HoU the alignment with the JRC strategy and the relevant policies and effective integration of the projects in the respective portfolios.To assist the Head of Unit with outreach, communication and representation in close cooperation with the HoU, the scientists, technical and administrative staff in the unit, the Departments, the Directors Office and JRC Headquarter in Brussels.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Jones Arwyn;To assist Unit Head in the management activities of the Unit to include Scientific, administrative and financial tasks. The role will also include liaison with DG Services, stakeholder and scientific partners.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Lettieri Teresa;Co-ordinate and carry out scientific and technical activities within the institutional project Water4you.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Mancini Lucia;Life cycle data analysis and modelling – consumption footprint of the EU (environmental and social dimensions);;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Marelli Luisa;To assist Unit Head in the management activities of the Unit to include Scientific, administrative and financial tasks. The role will also include liaison with DG Services, stakeholder and scientific partners.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Martini Giorgio;To lead the Unit in accordance with the priorities and the strategy of the DG and the Directorate;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Pisoni Enrico;To coordinate and to carry out scientific and technical tasks of the Integrated Assessment activities in the Clean Air and Climate Unit. Project Leader SEPIA.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Pistocchi Alberto;This assignment ensures scientific advice provision to policies addressing the water crisis, caused by climate change and the unsustainable use of the resource water. The jobholder is leading and steering scientific research for policy support addressing the availability, management and the sustainable use of water resources under current and future climate conditions. This includes quantitative assessments of surface and groundwater resources based on hydrological modelling of different scenarios. Importantly, the jobholder is responsible for coordinating the link of water availability to sustainable food systems and food security, the energy sector, biodiversity and the health of aquatic ecosystems. Moreover, the jobholder ensures the analytical link between water quantity and water quality under the remit of the EU water acquis, the European Green Deal and other priorities, and represents the JRC and the Commission in fora linked to the governance of water.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Rauscher Hubert;To act as Team Leader of the Advanced Materials Governance (AMG)To carry out and co-ordinate scientific/technical tasks in accordance with the research programme and projects in the Unit so that the Unit achieves its objectives and contributes to the overall Directorate and JRC objectives.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Sala Serenella;To lead the Unit in accordance with the priorities and the strategy of the DG and the Directorate;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Sanye Mengual Esther;To contribute to the activities of the land resources unit in relation to the environmental dimension of competitiveness, addressing sustainable production and consumption, circularity thereof and dependency of economy upon nature.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Thunis Philippe;Project Portfolio Leader of the 'Zero Pollution For Planetary Health – Integrated Responses' Project Portfolio.. To coordinate and to carry out scientific and technical tasks of the Air Quality Modelling and Integrated Assessement activites of the Clean Air & Climate Unit.;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Trane Matteo;;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Wojda Piotr;To coordinate and carry out focused assessments within the Natural Capital Project of both local and diffuse soil contamination in the context of terrestrial ecosystem services, food safety and sustainable agriculture, and human health, specifically in relation to CAP Impact Indicators, targets under SDG3, land degradation neutrality and land restoration strategies;;
Thematic area 7. TOWARDS A ZERO POLLUTION AMBITION ; Worth Andrew;To carry out and co-ordinate scientific/technical tasks in accordance with the research programme and projects in the Unit so that the Unit achieves its objectives and contributes to the overall Directorate and JRC objectives.To lead a Competence Group within the Unit.;;
