;target_code;target_content;thematic_area;sub_theme;justification;Unnamed: 5;Unnamed: 6;Unnamed: 7
135;TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030.;TA2_Clean, affordable and secure energy;Renewable Energy - Heating & Cooling;"This target is assigned to the sub-theme ""Renewable Energy - Heating & Cooling"" because it focuses on increasing the deployment of heat pumps, which is a renewable energy technology for heating and cooling.";;;
136;TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030.;TA2_Clean, affordable and secure energy;Energy Efficiency - Buildings;"This target is also assigned to the sub-theme ""Energy Efficiency - Buildings"" because it aims to improve energy efficiency in buildings through the use of heat pumps.";;;
137;TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems, as further specified in Annex IV, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels, identified in accordance with Article 14(5), are reached: (a) grassland butterfly index, (b) stock of organic carbon in cropland mineral soils, (c) share of agricultural land with high-diversity landscape features.;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Agricultural Ecosystems"" because it focuses on restoring and improving the quality of agricultural ecosystems.";;;
138;TA6.44;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems, as further specified in Annex IV, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels, identified in accordance with Article 14(5), are reached: (a) grassland butterfly index, (b) stock of organic carbon in cropland mineral soils, (c) share of agricultural land with high-diversity landscape features.;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;"This target is also assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to protect and conserve biodiversity in agricultural ecosystems.";;;
139;TA4.55;Zero-emission in urban logistics;TA4_Sustainable and smart mobility;Urban Mobility;"This target is assigned to the sub-theme ""Urban Mobility"" because it focuses on reducing emissions in urban logistics.";;;
140;TA4.55;Zero-emission in urban logistics;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;"This target is also assigned to the sub-theme ""Net-Zero Technology - Road Vehicles"" because it aims to achieve zero-emission in urban logistics through the use of net-zero technologies.";;;
141;TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030.;TA2_Clean, affordable and secure energy;Energy Efficiency;"This target is assigned to the sub-theme ""Energy Efficiency"" because it aims to reduce primary energy consumption.";;;
142;TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030.;TA2_Clean, affordable and secure energy;Energy Infrastructure;"This target is also assigned to the sub-theme ""Energy Infrastructure"" because it aims to improve energy infrastructure to support reduced energy consumption.";;;
143;TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025 and of 80% by 31 December 2030;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;"This target is assigned to the sub-theme ""Circularity/Recycling - Municipal Waste"" because it focuses on recycling ferrous metals from packaging waste.";;;
144;TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025 and of 80% by 31 December 2030;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;"This target is also assigned to the sub-theme ""Waste Reduction - Municipal Waste"" because it aims to reduce waste through recycling.";;;
145;TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on improving water quality by reducing waste and plastic litter.";;;
146;TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Reduction - Plastic & Packaging;"This target is also assigned to the sub-theme ""Waste Reduction - Plastic & Packaging"" because it aims to reduce plastic litter in the sea.";;;
147;TA3.37;Member States shall take the necessary measures to attain a recycling target of 75% of paper and card-board by weight of paper and cardboard contained in packaging waste generated by 31 December 2025 and of 85% by 31 December 2030;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;"This target is assigned to the sub-theme ""Circularity/Recycling - Municipal Waste"" because it focuses on recycling paper and cardboard from packaging waste.";;;
148;TA3.37;Member States shall take the necessary measures to attain a recycling target of 75% of paper and card-board by weight of paper and cardboard contained in packaging waste generated by 31 December 2025 and of 85% by 31 December 2030;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;"This target is also assigned to the sub-theme ""Waste Reduction - Municipal Waste"" because it aims to reduce waste through recycling.";;;
149;TA6.50;Reach no net land take;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it focuses on restoring ecosystems and reducing land take.";;;
150;TA6.50;Reach no net land take;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;"This target is also assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to protect and conserve biodiversity by reducing land take.";;;
151;TA6.52;The Ambient Air Quality Directives set EU air quality standards for 12 air pollutants: sulphur dioxide, nitrogen dioxide / nitrogen oxides, particulate matter (PM10, PM2.5), ozone, benzene, lead, carbon monoxide, arsenic, cadmium, nickel, and benzo(a)pyrene.;TA6_Preserving and protecting biodiversity;Improve Air Quality;"This target is assigned to the sub-theme ""Improve Air Quality"" because it focuses on improving air quality by reducing air pollutants.";;;
152;TA6.52;The Ambient Air Quality Directives set EU air quality standards for 12 air pollutants: sulphur dioxide, nitrogen dioxide / nitrogen oxides, particulate matter (PM10, PM2.5), ozone, benzene, lead, carbon monoxide, arsenic, cadmium, nickel, and benzo(a)pyrene.;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;"This target is also assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to protect and conserve biodiversity by improving air quality.";;;
153;TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node.;TA4_Sustainable and smart mobility;Urban Mobility;"This target is assigned to the sub-theme ""Urban Mobility"" because it focuses on deploying hydrogen refuelling stations in urban nodes.";;;
154;TA4.30;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node.;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;"This target is also assigned to the sub-theme ""Net-Zero Technology - Road Vehicles"" because it aims to promote the use of hydrogen fuel cell vehicles.";;;
155;TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on preserving freshwater and promoting water reuse in agriculture.";;;
156;TA5.8;Water: Preserving freshwater, boosting water reuse in agriculture.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Biodiversity Protection & Conservation;"This target is also assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to protect and conserve biodiversity by preserving freshwater and promoting water reuse.";;;
157;TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Circularity/Recycling;"This target is assigned to the sub-theme ""Circularity/Recycling"" because it focuses on promoting circular economy in food processing and retail.";;;
158;TA5.14;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Waste Reduction - Food Waste;"This target is also assigned to the sub-theme ""Waste Reduction - Food Waste"" because it aims to reduce food waste through circular economy practices.";"This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Agricultural Ecosystems"" because it focuses on restoring agricultural ecosystems and improving the common farmland bird index.";;
159;TA6.45;(agricultural ecosystems) Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels: (a) 110 by 2030, 120 by 2040 and 130 by 2050, for Member States listed in Annex V with historically more depleted populations of farmland birds; (b) 105 by 2030, 110 by 2040 and 115 by 2050, for Member States listed in Annex V with historically less depleted populations of farmland birds.;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;"This target is also assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to protect and conserve farmland bird species.";;
160;TA6.45;(agricultural ecosystems) Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels: (a) 110 by 2030, 120 by 2040 and 130 by 2050, for Member States listed in Annex V with historically more depleted populations of farmland birds; (b) 105 by 2030, 110 by 2040 and 115 by 2050, for Member States listed in Annex V with historically less depleted populations of farmland birds.;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;;;
161;TA3.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries or from overseas countries or territories (OCTs) and that no third country accounts for more than 65% of the Union’s annual consumption of such a strategic raw material.;TA3_Industrial strategy for a clean and circular economy;Critical Raw Materials - Extraction & Import;"This target is assigned to the sub-theme ""Critical Raw Materials - Extraction & Import"" because it focuses on diversifying imports of strategic raw materials.";;;
162;TA3.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries or from overseas countries or territories (OCTs) and that no third country accounts for more than 65% of the Union’s annual consumption of such a strategic raw material.;TA3_Industrial strategy for a clean and circular economy;Net-Zero Technology - Manufacturing;"This target is also assigned to the sub-theme ""Net-Zero Technology - Manufacturing"" because it aims to promote the use of strategic raw materials in net-zero technologies.";;;
163;TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;"This target is assigned to the sub-theme ""Improve Water Quality"" because it focuses on improving water quality by reducing waste and plastic litter.";;;
164;TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Reduction - Plastic & Packaging;"This target is also assigned to the sub-theme ""Waste Reduction - Plastic & Packaging"" because it aims to reduce plastic litter in the sea.";;;
165;TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025 and of 80% by 31 December 2030;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Municipal Waste;"This target is assigned to the sub-theme ""Circularity/Recycling - Municipal Waste"" because it focuses on recycling ferrous metals from packaging waste.";;;
166;TA3.34;Member States shall take the necessary measures to attain a recycling target of 70% of ferrous metals by weight of ferrous metals contained in packaging waste generated by 31 December 2025 and of 80% by 31 December 2030;TA3_Industrial strategy for a clean and circular economy;Waste Reduction - Municipal Waste;"This target is also assigned to the sub-theme ""Waste Reduction - Municipal Waste"" because it aims to reduce waste through recycling.";;;
167;TA6.28;In accordance with the CFP, it is crucial to continue and accelerate the work of rebuilding and keeping fish stocks above MSY levels (Maximum Sustainable Yield);TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Fisheries;"This target is assigned to the sub-theme ""Biodiversity Protection & Conservation - Fisheries"" because it focuses on rebuilding and keeping fish stocks above MSY levels.";;;
168;TA6.28;In accordance with the CFP, it is crucial to continue and accelerate the work of rebuilding and keeping fish stocks above MSY levels (Maximum Sustainable Yield);TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;"This target is also assigned to the sub-theme ""Terrestrial Ecosystems Restoration"" because it aims to restore ecosystems and promote sustainable fishing practices.";;;
169;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA1_Climate ambition;GHG Reduction;This target is assigned to the GHG Reduction sub-theme as it directly aims to reduce greenhouse gas emissions. The target is specific to the reduction of net GHG emissions by 55% compared to 1990 levels by 2030.;;;
170;;;;;;;;
171;TA1.8;Reach energy neutrality in the wastewater treatment sector by 2045;TA1_Climate ambition;GHG Reduction - Methane;This target is assigned to the GHG Reduction - Methane sub-theme because reaching energy neutrality in the wastewater treatment sector would likely involve reducing methane emissions. Energy neutrality implies minimizing energy consumption and potentially utilizing renewable energy sources.;;;
172;;;;;;;;
173;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;TA1_Climate ambition;GHG Removal;This target is assigned to the GHG Removal sub-theme as it focuses on achieving net greenhouse gas removal through the LULUCF sector. The target specifies an amount of CO2 equivalent per year to be removed.;;;
174;;;;;;;;
175;TA2.14;Each Member State shall increase the share of renewable energy in the heating and cooling sector by at least 0.8 percentage points as an annual average calculated for the period 2021 to 2025 and by at least 1.1 percentage points as an annual average calculated for the period 2026 to 2030;TA2_Clean, affordable and secure energy;Renewable Energy - Heating & Cooling;This target is assigned to the Renewable Energy - Heating & Cooling sub-theme because it specifically addresses the increase in the share of renewable energy in the heating and cooling sector. The target sets annual average increases for two periods.;;;
176;;;;;;;;
177;TA3.38;Each vehicle belonging to a vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of this Regulation] under Regulation (EU) 2018/858 shall be constructed so that it is: (a) reusable/recyclable to a minimum of 85% by mass; (b) reusable/recoverable to a minimum of 95 % by mass;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Vehicle Circularity;This target is assigned to the Circularity/Recycling - Vehicle Circularity sub-theme as it focuses on the recyclability and recoverability of vehicles. The target sets specific percentages for reusability and recoverability.;;
178;;;;;;;;
179;TA3.52;At least 20% of the carbon used in the chemical and plastic products should be from sustainable non-fossil sources by 2030;TA3_Industrial strategy for a clean and circular economy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it involves the use of sustainable non-fossil sources in chemical and plastic products, which could include recycling of critical raw materials like those used in batteries.;;;
180;;;;;;;;
181;TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles [...], off-road vehicles and off-road special purpose vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019;TA4_Sustainable and smart mobility;Net-Zero Technology - Road Vehicles;This target is assigned to the Net-Zero Technology - Road Vehicles sub-theme as it directly addresses the reduction of CO2 emissions from new heavy-duty motor vehicles and other vehicles. The target sets specific percentages for reduction.;;;
182;;;;;;;;
183;TA4.27;Member States shall ensure that, by 31 December 2030 (with intermediate 2025 and 2027 targets), along the TEN-T core road network, publicly accessible recharging pools dedicated to heavy-duty electric vehicles are deployed in each direction of travel with a maximum distance of 60 km between them;TA4_Sustainable and smart mobility;Electric Vehicle Infrastructure;This target is assigned to the Electric Vehicle Infrastructure sub-theme because it focuses on the deployment of publicly accessible recharging pools for heavy-duty electric vehicles along the TEN-T core road network.;;;
184;;;;;;;;
185;TA4.31;Member States shall ensure that, by 31 December 2030, publicly accessible hydrogen refuelling stations with a total capacity of at least 1 tonne per day, and equipped with at least a 700 bar dispenser, are deployed at least every 200 km along the TEN-T (Trans-European Transport Network) core network;TA4_Sustainable and smart mobility;Renewable Hydrogen;This target is assigned to the Renewable Hydrogen sub-theme as it involves the deployment of hydrogen refuelling stations along the TEN-T core network. The target specifies the capacity and equipment requirements for these stations.;;;
186;;;;;;;;
187;TA4.5;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050;TA4_Sustainable and smart mobility;Low-carbon fuels;This target is assigned to the Low-carbon fuels sub-theme because it addresses the use of Sustainable Aviation Fuel (SAF) in aviation. The target sets specific percentages of SAF to be used over time.;;;
188;;;;;;;;
189;TA5.27;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food quality - Healthy Food;This target is assigned to the Food quality - Healthy Food sub-theme as it focuses on providing consumers with information to make healthy and sustainable food choices. The target involves food messaging and labelling.;;;
190;;;;;;;;
191;TA6.4;2b. Strictly protect all remaining EU primary and old-growth forests;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation - Forests;This target is assigned to the Biodiversity Protection & Conservation - Forests sub-theme because it specifically addresses the protection of primary and old-growth forests. The target aims for strict protection of these forests.;;;
192;;;;;;;;
193;TA6.41;Marine ecosystems. Member States shall put in place the restoration measures [...] to improve [...] areas of habitat types listed in Annex II which are not in good condition;TA6_Preserving and protecting biodiversity;Marine Ecosystem Restoration;This target is assigned to the Marine Ecosystem Restoration sub-theme as it involves the restoration of marine ecosystems, specifically areas of habitat types listed in Annex II that are not in good condition.;;;
194;;;;;;;;
195;TA6.62;The Water Reuse Regulation aim to encourage and facilitate water reuse in the EU by harmonised minimum water quality requirements for the safe reuse of treated urban wastewaters in agricultural irrigation;TA6_Preserving and protecting biodiversity;Improve Water Quality;This target is assigned to the Improve Water Quality sub-theme because it focuses on water reuse and setting minimum water quality requirements for safe reuse in agricultural irrigation.;;;
196;;;;;;;;
197;TA6.9;6. The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;TA6_Preserving and protecting biodiversity;Pesticides Reduction;This target is assigned to the Pesticides Reduction sub-theme as it directly addresses the reduction of chemical pesticides and more hazardous pesticides. The target sets specific percentages for reduction.;;;
198;;;;;;;;
199;TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD to improve and maintain access to sanitation for all, in particular for vulnerable and marginalised groups, while aligning with the ZPAP and EGD climate and energy objectives;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;This target is assigned to the Improve Water Quality sub-theme because it involves improving access to sanitation and wastewater treatment, aligning with pollution and climate objectives.;;;
200;;;;;;;;
201;TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030 (compared to 2017);TA7_Towards a zero-pollution ambition for a toxic free environment;Noise Reduction;This target is assigned to the Noise Reduction sub-theme as it specifically addresses reducing the share of people disturbed by transport noise. The target sets a percentage for reduction by 2030.;;;
202;;;;;;;;
203;TA7.15;Having all soils in healthy condition by 2050;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Soils Health;This target is assigned to the Improve Soils Health sub-theme because it focuses on achieving healthy condition for all soils by 2050.;;;
204;TA1.10; ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42% emission reductions by 2030 compared to 2005; TA1_Climate ambition; GHG Reduction; This target is assigned to the GHG Reduction sub-theme because it specifically mentions emission reductions in various sectors, which is a key aspect of reducing greenhouse gas emissions. The target is also related to the ETS2, which is a mechanism for reducing emissions.;;;
205;TA1.10; ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42% emission reductions by 2030 compared to 2005; TA1_Climate ambition; GHG Reduction - Buildings; This target is assigned to the GHG Reduction - Buildings sub-theme because it specifically mentions the buildings sector as one of the areas where emission reductions are expected.;;;
206;TA2.6; Energy demand to be covered by solar heat and geothermal should at least triple (rate is currently at 1.5%); TA2_Clean, affordable and secure energy; Renewable Energy - Heating & Cooling; This target is assigned to the Renewable Energy - Heating & Cooling sub-theme because it specifically mentions solar heat and geothermal energy, which are types of renewable energy used for heating and cooling.;;;
207;TA2.6; Energy demand to be covered by solar heat and geothermal should at least triple (rate is currently at 1.5%); TA2_Clean, affordable and secure energy; Renewable Energy; This target is assigned to the Renewable Energy sub-theme because it mentions a specific type of renewable energy (solar heat and geothermal) and sets a target for increasing its use.;;;
208;TA2.9; Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%.; TA2_Clean, affordable and secure energy; Renewable Energy; This target is assigned to the Renewable Energy sub-theme because it sets a specific target for the share of renewable energy in the EU's energy consumption.;;;
209;TA2.24; Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2 and are not nearly-zero energy buildings) that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU.; TA2_Clean, affordable and secure energy; Energy Efficiency - Buildings; This target is assigned to the Energy Efficiency - Buildings sub-theme because it specifically mentions the renovation of buildings to improve their energy efficiency.;;;
210;TA2.26; At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations.; TA2_Clean, affordable and secure energy; Energy Efficiency - Buildings; This target is assigned to the Energy Efficiency - Buildings sub-theme because it mentions increasing the energy renovation rate of buildings, which is a key aspect of improving energy efficiency.;;;
211;TA3.13; By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able of producing at least 25% of the Union’s annual consumption of strategic raw materials and should be able of recycling significantly increasing amounts of each strategic raw material from waste.; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling - Critical Raw Materials - Batteries Recycling; This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it specifically mentions recycling strategic raw materials, which includes critical materials used in batteries.;;;
212;TA3.20; Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries No later than 31 December 2030 - 80% by average weight of lead-acid batteries,; TA3_Industrial strategy for a clean and circular economy; Circularity/Recycling - Critical Raw Materials - Batteries Recycling; This target is assigned to the Circularity/Recycling - Critical Raw Materials - Batteries Recycling sub-theme because it specifically mentions recycling efficiency targets for different types of batteries.;;;
213;TA4.10; EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030.; TA4_Sustainable and smart mobility; Transport Logistics; This target is assigned to the Transport Logistics sub-theme because it mentions reducing fuel intensity in the fisheries sector, which is a type of transportation.;;;
214;TA4.26; Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW.; TA4_Sustainable and smart mobility; Net-Zero Technology - Road Vehicles; This target is assigned to the Net-Zero Technology - Road Vehicles sub-theme because it specifically mentions recharging pools for light-duty vehicles, which is a key aspect of transitioning to net-zero emissions in the road transport sector.;;;
215;TA4.29; By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW.; TA4_Sustainable and smart mobility; Net-Zero Technology - Road Vehicles; This target is assigned to the Net-Zero Technology - Road Vehicles sub-theme because it specifically mentions recharging points for heavy-duty electric vehicles, which is a key aspect of transitioning to net-zero emissions in the road transport sector.;;;
216;TA4.33; Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030.; TA4_Sustainable and smart mobility; Net-Zero Technology - Maritime Transport; This target is assigned to the Net-Zero Technology - Maritime Transport sub-theme because it specifically mentions shore-side electricity supply for inland waterway vessels, which is a key aspect of transitioning to net-zero emissions in the maritime transport sector.;;;
217;TA5.4; Reduce by 50% the use of more hazardous pesticides; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Pesticides Reduction; This target is assigned to the Pesticides Reduction sub-theme because it specifically mentions reducing the use of more hazardous pesticides, which is a key aspect of reducing the environmental impact of agriculture.;;;
218;TA5.12; Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Biodiversity conservation; This target is assigned to the Biodiversity conservation sub-theme because it specifically mentions genetic biodiversity in food production systems, which is a key aspect of conserving biodiversity.;;;
219;TA5.16; Income distribution: Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Competitive Agriculture; This target is assigned to the Competitive Agriculture sub-theme because it specifically mentions improving the income of primary producers, which is a key aspect of ensuring the competitiveness of the agricultural sector.;;;
220;TA5.21; Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025; TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy; Food quality - Healthy Food; This target is assigned to the Food quality - Healthy Food sub-theme because it specifically mentions ensuring access to fast broadband, which can help improve the quality of food production by providing farmers with access to information and technology.;;;
221;TA6.49; (forest ecosystems) Member States shall achieve an increasing trend at national level of the common forest bird index, as further set out in Annex VI, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels identified in accordance with Article 11(3) are reached; TA6_Preserving and protecting biodiversity; Terrestrial Ecosystems Restoration - Forests; This target is assigned to the Terrestrial Ecosystems Restoration - Forests sub-theme because it specifically mentions the common forest bird index, which is an indicator of the health of forest ecosystems.;;;
222;TA7.11; Improve water quality by reducing microplastics released into the environment (by 30%); TA7_Towards a zero-pollution ambition for a toxic free environment; Improve Water Quality; This target is assigned to the Improve Water Quality sub-theme because it specifically mentions reducing microplastics released into the environment, which is a key aspect of improving water quality.;;;
223;TA7.11; Improve water quality by reducing microplastics released into the environment (by 30%); TA7_Towards a zero-pollution ambition for a toxic free environment; Microplastics; This target is assigned to the Microplastics sub-theme because it specifically mentions reducing microplastics, which is a key aspect of improving water quality.;;;
224;TA6.14; There is a 50% reduction in the number of Red List species threatened by Invasive Alien Species (IAS) Biodiversity Strategy; TA6_Preserving and protecting biodiversity; Biodiversity Protection & Conservation;" This target is assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it directly addresses the conservation of species threatened by invasive alien species.";;;
225;TA6.40; (pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollina- tor populations at the latest by 2030 and thereafter achieve an increasing trend of pollinator populations, measured at least every six years from 2030, until satisfactory levels are achieved, as set in accordance with Article 14(5).\n'Nature Restoration Law'\nParallel target of the Biodiversity Strategy: “5. The decline of pollinators is reversed”; TA6_Preserving and protecting biodiversity; Biodiversity Protection & Conservation;" This target is assigned to the sub-theme ""Biodiversity Protection & Conservation"" because it aims to improve pollinator diversity and reverse the decline of pollinator populations.";;;
226;TA6.39; Natural connectivity of rivers and natural functions\nof the related floodplains. Member States shall make an inventory of artificial barriers and remove them to connectivity of surface waters and, taking into account their socio-economic functions, identify the barriers that need to be removed to contribute to the achieve- ment of the restoration targets set out in Article 4 of this Regulation and of the objective of restoring at least 25.000 km of rivers into free-flowing rivers in the Union.\n'Nature Restoration Law'\n(Parallel target of the Biodiversity Strategy: “11. At least 25.000 km of free-flowing rivers are restored”); TA6_Preserving and protecting biodiversity; Terrestrial Ecosystems Restoration - Rivers;" This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Rivers"" because it focuses on restoring natural connectivity of rivers and floodplains.";;;
227;TA6.10; 7. At least 10% of agricultural area is under high-diversity landscape features Biodiversity Strategy; TA6_Preserving and protecting biodiversity; Terrestrial Ecosystems Restoration - Agricultural Ecosystems;" This target is assigned to the sub-theme ""Terrestrial Ecosystems Restoration - Agricultural Ecosystems"" because it aims to increase the area of agricultural land with high-diversity landscape features.";;;
