;source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
109;Critical Raw Materials - Extraction & Import;TA3.10,TA3.11,TA3.8,TA3.9;Improve Air Quality;-1;The extraction and processing of critical raw materials can lead to air pollution, as these activities often involve the release of harmful gases and particles into the atmosphere. This can negatively impact air quality.;
110;Net-Zero Technology - Manufacturing;TA3.12;Improve Water Quality;1;The development and manufacturing of net-zero technologies, such as renewable energy systems and energy-efficient appliances, can help to reduce water pollution by decreasing the amount of waste generated during the production process. This can improve water quality and protect aquatic ecosystems.;
111;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Improve Soils Health;2;The recycling of batteries and other electronic waste can help to reduce the amount of toxic materials that end up in landfills and contaminate soil and groundwater. This can improve soil health and reduce the risk of pollution.;
112;Waste Reduction - Food Waste;TA3.24,TA3.25,TA3.46;Improve Water Quality;1;Reducing food waste can help to decrease the amount of organic waste that ends up in landfills, which can produce methane and contaminate water sources. This can improve water quality and protect aquatic ecosystems.;
113;Waste Reduction - Plastic & Packaging;TA3.29,TA3.30,TA3.40;Improve Soils Health;1;Reducing plastic waste and increasing recycling rates can help to decrease the amount of plastic that ends up in landfills and contaminate soil and groundwater. This can improve soil health and reduce the risk of pollution.;
114;Circularity/Recycling - Textile Waste;TA3.4;Improve Air Quality;1;The recycling of textile waste can help to reduce the amount of waste sent to landfills, which can produce methane and other harmful gases. This can improve air quality and reduce the risk of pollution.;
115;Circularity/Recycling - Plastic & Packaging;TA3.27,TA3.28,TA3.31,TA3.32,TA3.33,TA3.34,TA3.35,TA3.36,TA3.37,TA3.39,TA3.40;Improve Water Quality;2;The recycling of plastic waste can help to reduce the amount of plastic that ends up in oceans and waterways, which can harm aquatic life and contaminate the water supply. This can improve water quality and protect aquatic ecosystems.;
116;Waste Reduction;TA3.1,TA3.11,TA3.12;Terrestrial Ecosystems Restoration;2;The reduction of waste can aid in the restoration of terrestrial ecosystems by decreasing pollution and preserving natural resources.;
117;Waste Reduction - Municipal Waste;TA3.20,TA3.21,TA3.22;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;1;Proper management of municipal waste can create conditions for more sustainable agricultural practices, furthering the restoration of agricultural ecosystems.;
118;Waste Reduction - Food Waste;TA3.24,TA3.25;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;-1;Reducing food waste can limit the options for agricultural production, potentially constraining the restoration of agricultural ecosystems.;
119;Waste Reduction - Plastic & Packaging;TA3.27,TA3.28;Marine Ecosystem Restoration;2;Decreasing plastic waste can reinforce the restoration of marine ecosystems by reducing pollution and protecting marine life.;
120;Circularity/Recycling;TA3.3;Terrestrial Ecosystems Restoration;3;Promoting circularity and recycling is indivisible from the restoration of terrestrial ecosystems, as it reduces waste and preserves natural resources.;
121;Circularity/Recycling - Municipal Waste;TA3.20,TA3.21;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;2;Encouraging recycling and circularity in municipal waste management can aid in the restoration of agricultural ecosystems.;
122;Circularity/Recycling - Textile Waste;TA3.15,TA3.16;Terrestrial Ecosystems Restoration - Forests;-1;The recycling of textile waste may constrain the restoration of forests, as it could lead to increased demand for wood pulp.;
123;Critical Raw Materials - Extraction & Import;TA3.10,TA3.11;Biodiversity Protection & Conservation;-2;The extraction and import of critical raw materials can counteract biodiversity protection and conservation efforts, as it may lead to habitat destruction and pollution.;
124;Net-Zero Technology - Manufacturing;TA3.12;Terrestrial Ecosystems Restoration;1;The development of net-zero technology can create conditions for the restoration of terrestrial ecosystems by reducing greenhouse gas emissions and promoting sustainable land use.;
125;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Renewable Energy;2;The reduction of GHG emissions can be achieved through the use of renewable energy sources, which in turn can aid the achievement of targets related to renewable energy.;The implementation of GHG reduction targets can create conditions that further the development of renewable energy.
126;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Energy Efficiency;2;The reduction of GHG emissions can be achieved through energy efficiency measures, which in turn can aid the achievement of targets related to energy efficiency.;The implementation of GHG reduction targets can create conditions that further the development of energy efficiency.
127;GHG Reduction - Buildings;TA1.15;Energy Efficiency - Buildings;3;The reduction of GHG emissions in buildings is inextricably linked to the achievement of energy efficiency targets in buildings.;The implementation of GHG reduction targets in buildings can only be achieved through the use of energy efficiency measures.
128;GHG Removal;TA1.12;Renewable Energy - Hydrogen Production;1;The removal of GHG emissions can be achieved through the use of hydrogen production, which can be enabled by the development of renewable energy sources.;The implementation of GHG removal targets can create conditions that further the development of renewable energy-based hydrogen production.
129;Climate Resilience;TA1.1,TA1.4;Renewable Energy - Ocean/Offshore;1;The development of ocean and offshore renewable energy can aid the achievement of climate resilience targets by providing a reliable source of clean energy.;The implementation of climate resilience targets can create conditions that further the development of ocean and offshore renewable energy.
130;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Social Security - Energy;2;The reduction of GHG emissions can be achieved through the use of social security measures related to energy, which in turn can aid the achievement of targets related to social security.;The implementation of GHG reduction targets can create conditions that further the development of social security measures related to energy.
131;GHG Reduction - Transports;TA2.13;Energy Efficiency - Buildings;-1;The reduction of GHG emissions in transports can constrain the options for energy efficiency in buildings, as the focus may shift from building efficiency to transport efficiency.;The implementation of GHG reduction targets in transports can limit the resources available for energy efficiency measures in buildings.
132;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Net-Zero Technology - Road Vehicles;2;The reduction of GHG emissions in the transport sector can be achieved through the adoption of net-zero technology in road vehicles, such as electric or hydrogen fuel cell vehicles, which can significantly reduce emissions and contribute to a cleaner transportation system. This synergy can aid in the achievement of both GHG reduction and net-zero technology targets.;
133;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Net-Zero Technology - Maritime Transport;2;Similar to road vehicles, the implementation of net-zero technologies in maritime transport, such as alternative fuels or more efficient ship designs, can help reduce GHG emissions from this sector, thereby supporting the overall goal of GHG reduction and promoting cleaner maritime operations.;
134;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Biofuels;1;The use of biofuels can offer a lower-carbon alternative to traditional fossil fuels in various transportation modes, thus enabling a reduction in GHG emissions. However, the impact may vary depending on the source and production process of the biofuels, making it an enabling factor rather than a direct solution.;
135;GHG Reduction - Buildings;TA1.15;Net-Zero Technology - Road Vehicles;1;Improving the energy efficiency of buildings and reducing their GHG emissions can indirectly support the transition to net-zero technologies in road vehicles by reducing the overall energy demand and promoting a cleaner energy mix. This can create a more favorable environment for the adoption of electric vehicles.;
136;GHG Removal;TA1.12;Hydrogen Distribution;2;The removal of GHG from the atmosphere can be facilitated through technologies that utilize hydrogen, such as carbon capture and storage coupled with hydrogen production. The distribution of hydrogen can play a critical role in making this technology accessible for various applications, including energy production and industrial processes, thereby reinforcing efforts in both GHG removal and hydrogen distribution.;
137;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Urban Mobility;1;Urban mobility strategies that promote walking, cycling, and the use of public transport can contribute to reducing GHG emissions from the transport sector. By encouraging these modes of transportation, cities can lower their carbon footprint and support the achievement of GHG reduction targets.;
138;GHG Reduction - Transports;TA1.10,TA1.11,TA4.10,TA4.12,TA4.15,TA4.16,TA4.17;Transport Logistics;2;Efficient transport logistics can significantly reduce GHG emissions by optimizing routes, reducing fuel consumption, and promoting the use of cleaner vehicles. This can directly contribute to the reduction of GHG emissions in the transport sector, making it a reinforcing factor for GHG reduction targets in transportation.;
139;Climate Resilience;TA1.1,TA1.4;Rail;1;Investing in rail infrastructure can enhance climate resilience by providing a more reliable and less weather-dependent mode of transportation compared to roads. This can enable the continuous operation of supply chains and passenger services during extreme weather events, supporting both climate resilience and the development of sustainable transport options.;
140;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Other Low-Carbon Fuels;1;The development and use of other low-carbon fuels, such as advanced biofuels or synthetic fuels, can offer alternatives to fossil fuels in various sectors, including transport and industry, thereby contributing to GHG reduction. However, their production and use must be carefully managed to avoid unintended environmental impacts.;
141;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Terrestrial Ecosystems Restoration;2;The reduction of greenhouse gas emissions can aid in the restoration of terrestrial ecosystems by mitigating climate change, which can have a reinforcing effect on the health and biodiversity of these ecosystems.;
142;Pesticides Reduction;TA5.2,TA5.4,TA5.5;Biodiversity Protection & Conservation;3;Reducing pesticide use can have an indivisible impact on biodiversity protection and conservation, as it directly affects the health and survival of various species and ecosystems.;
143;Competitive Agriculture;TA5.12,TA5.14,TA5.20,TA5.21,TA5.23;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;1;Promoting competitive agriculture can enable the restoration of agricultural ecosystems by creating conditions that support sustainable farming practices, which can lead to improved soil health and biodiversity.;
144;Food affordability;TA5.19,TA5.30,TA5.32,TA5.35;Food quality;2;Ensuring food affordability can have a reinforcing effect on food quality, as it can lead to increased access to nutritious and healthy food options, which can in turn support the overall health and well-being of individuals.;
145;Social Security - Workers Protection;TA4.53,TA5.16,TA5.17,TA5.18,TA5.24;Biodiversity Protection & Conservation - Urban Nature;1;Protecting workers' rights and promoting social security can enable the conservation of urban nature by creating conditions that support sustainable urban planning and development, which can lead to improved environmental outcomes and biodiversity protection.;
146;Food quality - Animal Welfare;TA5.25;Biodiversity Protection & Conservation - Fisheries;2;Promoting animal welfare in food production can have a reinforcing effect on biodiversity protection and conservation in fisheries, as it can lead to more sustainable and responsible fishing practices, which can help maintain healthy fish populations and ecosystems.;
147;Waste Reduction - Municipal Waste;TA3.1,TA3.2,TA3.4,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45,TA3.47;Net-Zero Technology - Road Vehicles;2;The implementation of waste reduction targets in municipal waste can reinforce the development of net-zero technology in road vehicles by promoting the use of recycled materials and reducing waste sent to landfills, which can aid in the production of electric vehicles.;
148;Waste Reduction - Food Waste;TA3.24,TA3.25,TA3.46;Biofuels;1;Reducing food waste can enable the production of biofuels by creating conditions for the use of organic waste as a feedstock, which can contribute to the development of low-carbon fuels.;
149;Circularity/Recycling - Municipal Waste;TA3.20,TA3.21,TA3.22,TA3.23;Urban Mobility;1;Improving recycling rates in municipal waste can enable the development of urban mobility solutions by promoting the use of recycled materials in the production of electric vehicles and other transportation modes.;
150;Critical Raw Materials - Extraction & Import;TA3.10,TA3.11,TA3.8,TA3.9;Net-Zero Technology - Manufacturing;2;The development of critical raw materials can reinforce the manufacturing of net-zero technologies by providing the necessary materials for the production of clean energy technologies, such as wind turbines and solar panels.;
151;Net-Zero Technology - Manufacturing;TA3.12;Transport Logistics;1;The development of net-zero technologies in manufacturing can enable the creation of more efficient transportation systems, which can aid in the reduction of greenhouse gas emissions in the logistics sector.;
152;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Hydrogen Distribution;1;The recycling of critical raw materials in batteries can enable the development of hydrogen distribution systems by providing the necessary materials for the production of fuel cells and other hydrogen-related technologies.;
153;Waste Reduction - Plastic & Packaging;TA3.27,TA3.28,TA3.31,TA3.32,TA3.33,TA3.34,TA3.35,TA3.36,TA3.37;Other Low-Carbon Fuels;1;Reducing plastic waste can enable the development of low-carbon fuels by creating conditions for the use of alternative feedstocks, such as biomass or recycled carbon, which can contribute to the production of low-carbon fuels.;
154;Waste Reduction - Municipal Waste;TA3.1,TA3.2,TA3.24,TA3.41,TA3.42,TA3.43,TA3.44,TA3.45;Food quality - Healthy Food;1;The reduction of municipal waste can lead to a decrease in food waste, enabling the production of healthier food.;
155;Waste Reduction - Food Waste;TA3.24,TA3.25,TA3.46,TA5.13;Food affordability;-2;Reducing food waste can lead to an increase in food prices, counteracting the goal of ensuring food affordability.;
156;Circularity/Recycling - Plastic & Packaging;TA3.27,TA3.28,TA3.31,TA3.32,TA3.33,TA3.34,TA3.35,TA3.36,TA3.37,TA3.39,TA4.14,TA4.39;Pesticides Reduction;2;The recycling of plastic packaging can reduce the use of pesticides in agriculture, reinforcing the goal of reducing pesticide use.;
157;Critical Raw Materials - Extraction & Import;TA3.10,TA3.11,TA3.8,TA3.9;Competitive Agriculture;-1;The extraction and import of critical raw materials can constrain the competitiveness of the agricultural sector, limiting options for sustainable agriculture.;
158;Net-Zero Technology - Manufacturing;TA3.12;Food quality;-3;The production of net-zero technology can cancel out the goal of ensuring food quality, as the focus on technology can lead to neglect of sustainable agricultural practices.;
159;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;TA3.15,TA3.16,TA3.17,TA3.18,TA3.19;Social Security - Workers Protection;2;The recycling of batteries can create new job opportunities in the recycling sector, reinforcing the goal of ensuring social security and workers' protection.;
160;Waste Reduction - Plastic & Packaging;TA3.27,TA3.28,TA3.31,TA3.32,TA3.33,TA3.34,TA3.35,TA3.36,TA3.37,TA3.39,TA4.14,TA4.39;Food affordability;1;The reduction of plastic packaging waste can enable the production of more affordable food, creating conditions that further the goal of ensuring food affordability.;
161;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Improve Air Quality;2;The reduction of greenhouse gas emissions can lead to improved air quality by decreasing the amount of pollutants released into the atmosphere, thus reinforcing the achievement of air quality targets.;
162;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Improve Water Quality;2;Reducing GHG emissions can also contribute to improving water quality by decreasing the amount of pollutants that enter water bodies, thus aiding in the achievement of water quality targets.;
163;Pesticides Reduction;TA5.2,TA5.4,TA5.5;Improve Soils Health;3;The reduction of pesticide use is indivisibly linked to improving soil health, as pesticides can contaminate soil and harm its quality, making it essential for achieving soil health targets.;
164;Competitive Agriculture;TA5.12,TA5.14,TA5.20,TA5.21,TA5.23;Improve Air Quality;1;Promoting competitive agriculture can enable the achievement of air quality targets by encouraging the use of more environmentally friendly farming practices, which can reduce air pollution.;
165;Social Security - Workers Protection;TA4.53,TA5.16,TA5.17,TA5.18,TA5.24;Social Security - Sanitation;2;Protecting workers' rights and promoting fair income can reinforce the achievement of social security and sanitation targets by ensuring that workers have access to safe and healthy working conditions.;
166;Food affordability;TA5.19,TA5.30,TA5.32,TA5.35;Food quality;1;Ensuring food affordability can enable the achievement of food quality targets by making healthy and sustainable food options more accessible to consumers.;
167;Food quality - Animal Welfare;TA5.25;Food quality - Healthy Food;2;Promoting animal welfare in food production can reinforce the achievement of healthy food targets by ensuring that food is produced in a way that prioritizes animal health and well-being.;
168;Pesticides Reduction;TA5.2,TA5.4,TA5.5;Food quality - Healthy Food;3;Reducing pesticide use is indivisibly linked to achieving healthy food targets, as pesticides can contaminate food and harm human health, making it essential for ensuring the quality of food.;
169;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Food affordability;1;Enabling;The reduction of GHG emissions can lead to increased food production and reduced losses, making food more affordable and accessible.
170;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Competitive Agriculture;-1;Constraining;The implementation of GHG reduction targets may require significant changes in agricultural practices, potentially constraining the competitiveness of the agricultural sector.
171;GHG Reduction - Buildings;TA1.15;Food quality - Healthy Food;2;Reinforcing;Improving the energy efficiency of buildings can reinforce the quality of food storage and handling, leading to healthier food options.
172;GHG Removal;TA1.12;Pesticides Reduction;1;Enabling;The removal of GHG from the atmosphere can enable the reduction of pesticides by promoting more sustainable agricultural practices.
173;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Social Security - Workers Protection;1;Enabling;The reduction of GHG emissions can create new job opportunities in the renewable energy sector, enabling better social security and worker protection.
174;GHG Reduction - Transports;TA1.16,TA4.9,TA4.10,TA4.12;Food affordability;-1;Constraining;The transition to low-carbon transportation may increase food transportation costs, constraining food affordability.
175;Climate Resilience;TA1.1,TA1.4;Food quality;2;Reinforcing;Improving climate resilience can reinforce food quality by reducing the impacts of climate-related hazards on food production and storage.
176;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Food quality - Animal Welfare;1;Enabling;The reduction of GHG emissions can enable better animal welfare by promoting more sustainable agricultural practices and reducing the environmental impacts of animal farming.
177;Biodiversity Protection & Conservation;TA6.1,TA6.14,TA6.17,TA6.3,TA6.43,TA6.5,TA6.62,TA6.8;GHG Reduction;-2;The implementation of biodiversity protection and conservation targets may counteract GHG reduction efforts, as some conservation measures may require significant energy consumption or land use changes that increase emissions.;
178;Biodiversity Protection & Conservation - Urban Nature;TA6.16,TA6.39,TA6.40,TA6.41;GHG Reduction;-1;Urban nature conservation efforts may constrain GHG reduction options, as urban green spaces may require energy-intensive maintenance or limit the availability of land for renewable energy installations.;
179;Terrestrial Ecosystems Restoration - Forests;TA6.11,TA6.4,TA6.50,TA6.51,TA6.52,TA6.59;GHG Removal;2;Forest restoration can aid in GHG removal by sequestering carbon dioxide from the atmosphere, reinforcing the effectiveness of GHG removal strategies.;
180;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;TA5.9,TA6.10,TA6.47,TA6.48;GHG Reduction;1;Sustainable agricultural practices can enable GHG reduction by promoting soil carbon sequestration, reducing synthetic fertilizer use, and enhancing ecosystem services that support climate regulation.;
181;Marine Ecosystem Restoration;TA6.2,TA6.33,TA6.44,TA6.45;GHG Reduction;-1;Marine ecosystem restoration may constrain GHG reduction options, as some restoration efforts may require significant energy consumption or limit the availability of ocean spaces for renewable energy installations.;
182;Biodiversity Protection & Conservation - Fisheries;TA5.6,TA6.18,TA6.27,TA6.28;GHG Reduction;-2;Fisheries management and conservation efforts may counteract GHG reduction efforts, as some fishing practices or gear may contribute to emissions or limit the effectiveness of marine renewable energy installations.;
183;Biodiversity Protection & Conservation - Monitoring;TA6.37,TA6.46;GHG Reduction;1;Effective monitoring of biodiversity can enable GHG reduction by providing insights into ecosystem functioning and identifying areas where conservation efforts can support climate regulation.;
184;Terrestrial Ecosystems Restoration;TA6.21,TA6.32,TA6.34,TA6.35,TA6.36,TA6.38,TA6.63,TA6.7;GHG Removal;3;Terrestrial ecosystem restoration is inextricably linked to GHG removal, as restored ecosystems can sequester significant amounts of carbon dioxide from the atmosphere, making it impossible to achieve GHG removal targets without ecosystem restoration.;
185;Terrestrial Ecosystems Restoration - Rivers;TA6.13,TA6.42;GHG Reduction;1;River restoration can enable GHG reduction by promoting ecosystem services that support climate regulation, such as floodplain restoration and wetland conservation, which can aid in carbon sequestration and reduce emissions.;
186;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Climate Resilience;2;The reduction of greenhouse gas emissions can aid in achieving climate resilience by mitigating the effects of climate change, thus reinforcing the ability to adapt to its impacts.;
187;Pesticides Reduction;TA5.2,TA5.4,TA5.5;GHG Reduction;1;Reducing pesticide use can lead to more sustainable agricultural practices, which in turn can contribute to lowering greenhouse gas emissions, thus enabling the achievement of GHG reduction targets.;
188;Competitive Agriculture;TA5.12,TA5.14,TA5.20,TA5.21,TA5.23;GHG Reduction - Buildings;-1;The focus on competitive agriculture might lead to increased energy consumption in agricultural buildings and processes, potentially constraining the efforts to reduce GHG emissions from buildings.;
189;Social Security - Workers Protection;TA4.53,TA5.16,TA5.17,TA5.18,TA5.24;GHG Removal;1;Protecting workers' rights and ensuring fair income can lead to more stable and equitable societies, which can in turn support policies and practices that remove greenhouse gases, such as through sustainable land use and reforestation.;
190;Food affordability;TA5.19,TA5.30,TA5.32,TA5.33,TA5.35;GHG Reduction - Transports;2;Ensuring food affordability can lead to reduced food waste and more efficient food distribution systems, which can reinforce efforts to reduce greenhouse gas emissions from transportation.;
191;Food quality - Healthy Food;TA5.26,TA5.27,TA5.28,TA5.29,TA5.31,TA5.33,TA5.34;GHG Reduction;1;Promoting healthy food options can lead to dietary changes that reduce greenhouse gas emissions, such as lower meat consumption, thus enabling the achievement of GHG reduction targets.;
192;Food quality - Animal Welfare;TA5.25;GHG Reduction;1;Improving animal welfare in agriculture can lead to more sustainable farming practices, which can contribute to reducing greenhouse gas emissions, thus enabling the achievement of GHG reduction targets.;
193;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Climate Resilience;2;The reduction of greenhouse gas emissions can aid in achieving climate resilience by mitigating the effects of climate change, thus reinforcing the ability to adapt to its impacts.;
194;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;GHG Removal;-1;The focus on reducing greenhouse gas emissions might limit options for removing greenhouse gases from the atmosphere, as resources and efforts could be directed more towards reduction rather than removal, thus constraining the achievement of GHG removal targets.;
195;Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29;GHG Reduction;3;The development and implementation of net-zero technology in road vehicles, such as electric vehicles, is inextricably linked to the reduction of greenhouse gas emissions in the transport sector, as it directly contributes to decreasing emissions from vehicle use.;
196;Net-Zero Technology - Maritime Transport;TA4.33,TA4.34,TA4.45,TA4.57,TA4.58;GHG Reduction;3;Similar to road vehicles, the adoption of net-zero technologies in maritime transport is crucial for reducing greenhouse gas emissions from shipping, thereby directly supporting the achievement of GHG reduction targets.;
197;Biofuels;TA4.1,TA4.18,TA4.7;GHG Reduction;2;The use of biofuels can aid in reducing greenhouse gas emissions from transport, as they offer a lower-carbon alternative to fossil fuels, thus reinforcing efforts to decrease emissions.;
198;Hydrogen Distribution;TA4.23,TA4.30,TA4.31;GHG Reduction;2;The distribution and use of hydrogen as a clean energy carrier can support the reduction of greenhouse gas emissions, particularly in sectors difficult to decarbonize, by providing a low-carbon energy source, thus reinforcing GHG reduction efforts.;
199;Urban Mobility;TA4.54;GHG Reduction;1;Improvements in urban mobility, such as promoting walking, cycling, and public transport, can enable the reduction of greenhouse gas emissions by creating conditions that favor lower-carbon transportation options.;
200;Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;GHG Reduction;1;Efficient transport logistics can enable GHG reduction by optimizing routes, reducing fuel consumption, and promoting the use of cleaner vehicles, thus creating favorable conditions for lowering emissions.;
201;Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;GHG Reduction;2;The development and use of other low-carbon fuels can reinforce GHG reduction efforts by offering alternatives to fossil fuels, thereby decreasing emissions from energy use.;
202;Rail;TA4.37,TA4.38,TA4.40;GHG Reduction;1;The promotion of rail transport can enable the reduction of greenhouse gas emissions from transport by encouraging a shift towards a more energy-efficient mode of transportation, thus supporting conditions for lower emissions.;
203;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Renewable Energy;2;The reduction of greenhouse gas emissions can be achieved through the use of renewable energy sources, which in turn can aid in the achievement of renewable energy targets.;
204;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Energy Efficiency;2;Improving energy efficiency can contribute to the reduction of greenhouse gas emissions, thereby supporting the achievement of energy efficiency targets.;
205;Biofuels;TA4.1,TA4.18,TA4.7;Renewable Energy - Hydrogen Production;-1;The production of biofuels may compete with the production of renewable hydrogen, potentially limiting the achievement of hydrogen production targets.;
206;Net-Zero Technology - Road Vehicles;TA4.11,TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.44,TA4.45,TA4.55;Renewable Energy - Solar;2;The development of net-zero technology for road vehicles can be supported by the use of renewable energy sources like solar power, which can aid in the achievement of solar energy targets.;
207;Net-Zero Technology - Maritime Transport;TA4.33,TA4.34,TA4.45,TA4.57,TA4.58;Renewable Energy - Ocean/Offshore;2;The implementation of net-zero technology in maritime transport can be facilitated by the use of offshore renewable energy sources, which can contribute to the achievement of offshore energy targets.;
208;Urban Mobility;TA4.54;Energy Efficiency - Buildings;1;Improving urban mobility can lead to increased energy efficiency in buildings, as more efficient transportation systems can reduce energy consumption, thereby supporting the achievement of energy efficiency targets in buildings.;
209;Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.40,TA4.43,TA4.50,TA4.51,TA4.56;Renewable Energy - Heating & Cooling;-1;The optimization of transport logistics may lead to increased energy demand for heating and cooling, potentially limiting the achievement of renewable heating and cooling targets.;
210;Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;Renewable Energy;1;The development of other low-carbon fuels can create conditions that further the use of renewable energy sources, supporting the achievement of renewable energy targets.;
211;Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Renewable Energy - Hydrogen Production;3;The distribution of hydrogen is inextricably linked to the production of renewable hydrogen, as it is necessary for the use of hydrogen as a low-carbon energy carrier.;
212;Rail;TA4.37,TA4.38,TA4.40;Energy Efficiency;2;The development of rail transport can aid in the achievement of energy efficiency targets, as rail is generally a more energy-efficient mode of transportation compared to road or air travel.;
213;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Renewable Energy;2;The reduction of greenhouse gas emissions is closely linked to the increase in renewable energy production, as renewable energy sources are a key component of a low-carbon economy. The implementation of GHG reduction targets will likely reinforce the development and use of renewable energy.;
214;GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Energy Efficiency;2;Improving energy efficiency is a crucial step in reducing greenhouse gas emissions, and the implementation of GHG reduction targets will likely aid in the achievement of energy efficiency goals. Energy-efficient technologies and practices can help reduce energy consumption, which in turn reduces emissions.;
215;Competitive Agriculture;TA5.12,TA5.14,TA5.20,TA5.21,TA5.23;Food affordability;1;The development of competitive agriculture can enable the production of high-quality, affordable food, which can contribute to food affordability. By promoting sustainable and efficient agricultural practices, the EU can help ensure a stable food supply and reduce the risk of food price volatility.;
216;Pesticides Reduction;TA5.2,TA5.4,TA5.5;Food quality;2;Reducing the use of pesticides is essential for ensuring food quality and safety. The implementation of pesticide reduction targets can help minimize the presence of harmful chemicals in food products, which can have positive impacts on human health and the environment.;
217;Social Security - Workers Protection;TA4.53,TA5.16,TA5.17,TA5.18,TA5.24;Social Security - Energy;1;The protection of workers' rights and social security can have a positive impact on the energy sector, particularly in terms of ensuring fair working conditions and safe operations. By promoting social security and workers' protection, the EU can help create a more stable and equitable energy workforce.;
218;Food quality - Animal Welfare;TA5.25;Food quality - Healthy Food;2;Improving animal welfare in the food production process can have a positive impact on food quality and safety. By promoting better animal welfare practices, the EU can help reduce the risk of animal-borne diseases and improve the overall quality of food products.;
219;Biodiversity Protection & Conservation;TA6.1,TA6.14,TA6.17,TA6.3,TA6.43,TA6.5,TA6.58,TA6.62,TA6.8;Renewable Energy;-1;The increased use of renewable energy sources may lead to the destruction of natural habitats and ecosystems, potentially harming biodiversity.;
220;Biodiversity Protection & Conservation;TA6.1,TA6.14,TA6.17,TA6.3,TA6.43,TA6.5,TA6.58,TA6.62,TA6.8;Energy Efficiency;2;Improving energy efficiency can reduce the demand for energy and decrease the pressure on natural resources, which can help protect biodiversity.;
221;Terrestrial Ecosystems Restoration - Forests;TA5.9,TA6.10,TA6.11,TA6.47,TA6.48;Renewable Energy;1;Restoring forests can help sequester carbon dioxide and support the transition to renewable energy sources.;
222;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;TA5.9,TA6.10,TA6.47,TA6.48;Energy Efficiency;1;Sustainable agricultural practices can improve energy efficiency and reduce the environmental impact of agriculture.;
223;Biodiversity Protection & Conservation - Urban Nature;TA6.16,TA6.39,TA6.40,TA6.41;Social Security - Energy;2;Urban nature conservation can help mitigate the urban heat island effect and improve energy efficiency in cities.;
224;Marine Ecosystem Restoration;TA6.2,TA6.33,TA6.44,TA6.45;Renewable Energy - Ocean/Offshore;3;Restoring marine ecosystems can help support the development of offshore renewable energy sources, such as wind and tidal power.;
